Year	Class	Name	MPIMP-ID
2013	Acids	Azelaic acid	A181007-101
2013	Acids	Benzoic acid	A128003-101
2013	Acids	Benzoic acid, 4-hydroxy-	A164003-101
2013	Acids	Boric acid	A098003-101
2013	Acids	Citric acid	A182004-101
2013	Acids	Fumaric acid	A137001-101
2013	Acids	Gluconic acid, 2-oxo-	A187003-101
2013	Acids	Glutaric acid, 2-oxo-	A158004-101
2013	Acids	Glycolic acid	A106002-101
2013	Acids	Glyoxylic acid	A100001-101
2013	Acids	Gulonic acid, 2-oxo-	A186001-101
2013	Acids	Isocaproic acid, 2-oxo-	A127007-101
2013	Acids	Isocitric acid	A182003-101
2013	Acids	Lactic acid	A105001-101
2013	Acids	Malic acid	A149001-101
2013	Acids	Malic acid, 1-methylester	A139020-101
2013	Acids	Malonic acid	A122003-101
2013	Acids	Oxalic acid	A113002-101
2013	Acids	Oxomalonic acid	A140023-101
2013	Acids	Pantothenic acid	A200006-101
2013	Acids	Pyruvic acid	A104002-101
2013	Acids	Pyruvic acid, 4-hydroxyphenyl-	A199012-101
2013	Acids	Quinic acid	A185001-101
2013	Acids	Salicylic acid	A152003-101
2013	Acids	Shikimic acid	A181002-101
2013	Acids	Succinic acid	A134001-101
2013	Acids	Vanillic acid	A178004-101
2013	Amino Acids	Adipic acid, 2-amino-	A172006-101
2013	Amino Acids	Alanine	A110001-101
2013	Amino Acids	Alanine, 3-cyano-	A138005-101
2013	Amino Acids	Alanine, beta-	A144001-101
2013	Amino Acids	Asparagine	A168001-101
2013	Amino Acids	Aspartic acid	A152002-101
2013	Amino Acids	Butanoic acid, 4-amino-	A153003-101
2013	Amino Acids	Butyro-1,4-lactam	A114004-101
2013	Amino Acids	Caproic acid, 6-amino-	A174006-101
2013	Amino Acids	Cysteine	A156002-101
2013	Amino Acids	Glutamic acid	A163001-101
2013	Amino Acids	Glutamine	A178001-101
2013	Amino Acids	Glycine	A133001-101
2013	Amino Acids	Isoleucine	A132002-101
2013	Amino Acids	Leucine	A118001-101
2013	Amino Acids	Methionine	A152001-101
2013	Amino Acids	N-Carboxyglycine	A147006-101
2013	Amino Acids	Phenylalanine	A164001-101
2013	Amino Acids	Proline	A132003-101
2013	Amino Acids	Pyroglutamic acid+Glutamic acid+Glutamine	A153002-101
2013	Amino Acids	Serine	A138001-101
2013	Amino Acids	Threonine	A140001-101
2013	Amino Acids	Threonine, allo-	A139008-101
2013	Amino Acids	Tyrosine	A194002-101
2013	Amino Acids	Valine	A122001-101
2013	Aromatic	4-Hydroxybenzaldehyde	A150014-101
2013	Fatty Acids	Hexadecanoic acid	A205001-101
2013	Fatty Acids	Octadecanoic acid	A225002-101
2013	MSTs	A104005-101	A104005-101
2013	MSTs	A106004-101	A106004-101
2013	MSTs	A112003-101	A112003-101
2013	MSTs	A114012-101	A114012-101
2013	MSTs	A116012-101	A116012-101
2013	MSTs	A116014-101	A116014-101
2013	MSTs	A118006-101	A118006-101
2013	MSTs	A124002-101	A124002-101
2013	MSTs	A126003-101	A126003-101
2013	MSTs	A137012-101	A137012-101
2013	MSTs	A138009-101	A138009-101
2013	MSTs	A140003-101	A140003-101
2013	MSTs	A142003-101	A142003-101
2013	MSTs	A142016-101	A142016-101
2013	MSTs	A143003-101	A143003-101
2013	MSTs	A144007-101	A144007-101
2013	MSTs	A145008-101	A145008-101
2013	MSTs	A145015-101	A145015-101
2013	MSTs	A145016-101	A145016-101
2013	MSTs	A147011-101	A147011-101
2013	MSTs	A148006-101	A148006-101
2013	MSTs	A155004-101	A155004-101
2013	MSTs	A157008-101	A157008-101
2013	MSTs	A157012-101	A157012-101
2013	MSTs	A159003-101	A159003-101
2013	MSTs	A160001-101	A160001-101
2013	MSTs	A160018-101	A160018-101
2013	MSTs	A167004-101	A167004-101
2013	MSTs	A168017-101	A168017-101
2013	MSTs	A170001-101	A170001-101
2013	MSTs	A171003-101	A171003-101
2013	MSTs	A174001-101	A174001-101
2013	MSTs	A174005-101	A174005-101
2013	MSTs	A175008-101	A175008-101
2013	MSTs	A176001-101	A176001-101
2013	MSTs	A178003-101	A178003-101
2013	MSTs	A179010-101	A179010-101
2013	MSTs	A180002-101	A180002-101
2013	MSTs	A181001-101	A181001-101
2013	MSTs	A182009-101	A182009-101
2013	MSTs	A192014-101	A192014-101
2013	MSTs	A193008-101	A193008-101
2013	MSTs	A196004-101	A196004-101
2013	MSTs	A197007-101	A197007-101
2013	MSTs	A199003-101	A199003-101
2013	MSTs	A201002-101	A201002-101
2013	MSTs	A201011-101	A201011-101
2013	MSTs	A203003-101	A203003-101
2013	MSTs	A203004-101	A203004-101
2013	MSTs	A203005-101	A203005-101
2013	MSTs	A204004-101	A204004-101
2013	MSTs	A209004-101	A209004-101
2013	MSTs	A211001-101	A211001-101
2013	MSTs	A213001-101	A213001-101
2013	MSTs	A214003-101	A214003-101
2013	MSTs	A214004-101	A214004-101
2013	MSTs	A221004-101	A221004-101
2013	MSTs	A223005-101	A223005-101
2013	MSTs	A226014-101	A226014-101
2013	MSTs	A227009-101	A227009-101
2013	MSTs	A228001-101	A228001-101
2013	MSTs	A230002-101	A230002-101
2013	MSTs	A237001-101	A237001-101
2013	MSTs	A237002-101	A237002-101
2013	MSTs	A249004-101	A249004-101
2013	MSTs	A250001-101	A250001-101
2013	MSTs	A254002-101	A254002-101
2013	MSTs	A255012-101	A255012-101
2013	MSTs	A256004-101	A256004-101
