	Code	Benzoic acid, 4-hydroxy-	Citric acid	Glutaric acid, 2-oxo-	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Aspartic acid	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Serine	Threonine	Valine	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A143003	A145016	A147011	A155004	A159003	A170001	A174001	A176001	A203003	A211001	A213001	A228001	A237001	A237002	A250001	A311002	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerol-3-phosphate	Glycerophosphoglycerol	Inositol-phosphate, myo-	Phosphoric acid	Phosphoric acid monomethyl ester	Erythronic acid	Galactaric acid	Gluconic acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
16028gf_22	GNCLS	0.645269992	3.82045917	0.685836913	6.218641879	3.456422202	1.449089458	3.941564308	1.202811568	0.102289764	2.634657645	4.650584624	0.833610334	0.807108197	0.349630155	0.712767535	0.259626025	0.584254742	1.046240029	0.737509454	2.326362899	4.322647147	3.077042329	2.209852329	1.715045501	3.681419967	0.333534247	0.226694186	0.473898022	0.365702938	0.420284555	0.331443479	2.17498609	0.204953023	0.484408591	0.1106896	1.71851305	3.028312527	4.089284667	0.521233134	1.205720943	0.090986141	1.789818389	0.38636225	5.749131204	0.424275205	4.968220551	0.80851256	1.192060214	6.934508854	1.66067206	0.783887089	0.614994566	0.940068392	0.810352223	0.33112406	2.238651122	1.331465999	0.150867096	4.512695999	0.18670488	0.369999327	0.584415918	1.478477088	1.593670313	0.779561536	8.529684037	15.19074272
16032gf_18	GNCLS	0.746384089	3.447380271	0.591341099	5.931854357	5.764315374	1.611595945	4.814800628	1.362356482	0.172973171	4.337680199	6.471396856	0.663541807	1.590932973	0.566210943	0.932616186	0.432411411	1.319403219	4.794507999	1.116962452	3.631483551	6.984090555	5.868149823	2.415095851	1.163583642	6.281498567	1.11732852	0.630163879	0.597274415	0.548337406	0.480143695	0.49873602	3.024331362	0.705531121	0.645489807	0.218530703	2.874289404	2.687872472	4.410390329	0.521399199	1.122136547	0.276058954	1.758306968	0.423813041	6.923423059	0.553255776	5.891981216	1.020062276	1.126056681	9.710552209	2.335832369	0.836364652	1.000689783	0.936567277	1.529999324	0.760815079	2.143461221	1.200076491	0.169185034	6.304082321	0.304118774	0.726039979	1.120468224	4.22624328	3.618299065	0.92286256	6.725429415	21.67648641
16034gf_10	GNCLS	0.742823879	3.56744275	0.743123218	6.142271453	5.932801858	1.536280131	4.859467447	1.424319089	0.481791796	4.714802241	6.729661721	0.623784503	1.70128812	0.564698699	0.827594911	0.661720963	1.592878604	6.38749069	1.586709126	4.190765916	6.479890717	5.682152726	1.692436278	1.522180889	6.672786714	0.865103045	0.62819089	0.641233008	0.677217984	0.514266811	0.527970876	3.194018143	0.704495228	0.587345391	0.248533084	3.31930356	3.677155937	5.091001025	0.592594441	1.195160117	0.294879587	1.922618979	0.505347366	7.470821699	0.356946479	7.103636937	1.353531783	1.856033793	10.47939521	2.834612643	0.925079522	1.053763527	0.602188631	1.474280729	0.746876558	2.459481723	1.557424417	0.145145915	6.635411853	0.33120577	0.644765501	1.280483138	5.419461189	4.668634809	1.180229086	5.133074261	18.8174965
16034gf_81	GNCLS	0.485880403	1.860616877	0.600804631	5.530571463	2.513545621	2.120145947	1.367215163	0.81782337	0.031140173	1.223722425	3.492982771	0.712254273	0.750246292	0.243900098	0.424468282	0.196952149	0.782381321	0.740067535	0.676198018	1.455867666	8.518614925	7.13126679	3.511144612	1.608545314	2.202075338	0.24019028	0.144182346	0.439173488	0.336099205	0.496425187	0.388706698	2.475917006	0.399462748	0.678798867	0.653144145	2.842561825	3.898115986	4.529892892	0.534183375	1.255332945	0.149687424	2.131987979	0.376727592	8.357868896	0.595230477	4.955427734	1.198099825	1.753119086	4.817876027	1.219546904	0.656727639	0.961255804	0.294785329	0.856736284	0.334707233	1.282378165	1.058524938	0.092978273	4.34280765	0.114961835	0.456043805	0.956282223	2.574534382	2.087724231	0.650018487	4.134013001	12.02331132
16037gf_55	GNCLS	0.663677015	3.073693798	0.52640478	5.961000909	3.547994917	1.576667615	3.928262418	1.014398305	0.075307863	1.819707307	5.246818184	0.583289794	0.874250215	0.469520764	0.975907763	0.289117087	0.718118912	2.070306135	0.909296363	2.856067653	5.522587406	4.008796043	2.20464316	0.892880094	3.921039976	0.762412705	0.443753625	0.423216222	0.346443293	0.407320451	0.377814465	2.300764442	0.322497031	0.404948601	0.124257949	2.171184785	2.602592426	3.277853868	0.401596026	0.803214703	0.146658736	1.575240603	0.331001123	6.205259569	0.44873984	4.97401159	0.901367095	1.118264386	7.093522508	2.066116961	0.851445889	0.708659066	0.892031598	0.858977342	0.310991387	1.822017764	1.195664376	0.158292123	5.438462746	0.095818825	0.365332061	0.823047103	2.188626901	2.074746538	0.434398146	4.230984468	22.74718636
16028gf_45	GNC12	0.70087851	2.988458865	1.024447085	4.803509947	5.211957063	1.491402232	6.078202205	1.268500655	0.092374476	2.071651991	3.829965161	0.62194243	0.369027366	0.300702836	0.600237599	0.147125405	0.43478233	0.463953228	0.774814774	2.055676235	4.633565255	4.475487772	1.906170603	1.702987827	4.195089158	0.332608927	0.170865409	0.613093763	0.561845148	0.439019558	0.405260005	2.144701027	0.247255156	0.642707668	0.155176998	2.362436437	3.770831668	4.98749788	0.537203533	0.44356048	0.049603644	2.000333909	0.384483823	3.909818332	0.351629026	3.48703271	0.664523295	1.097223032	7.80583809	2.069487026	0.765670568	0.602406615	5.987724547	1.063565162	1.267991683	4.134151614	3.19402517	0.159261297	1.966526613	0.628669246	0.3940199	0.738449019	1.843863844	1.042944529	0.22300274	6.254998741	26.2706121
16032gf_35	GNC12	0.691005164	3.162380678	0.663909098	5.955584165	4.817980332	1.238296588	4.200349762	1.19618499	0.085385376	2.314299225	3.331487582	0.505195416	0.591528517	0.294305751	0.631696439	0.242708134	0.534821618	0.674548214	0.574028894	2.146276255	5.270176231	4.358582184	2.244079785	2.094403468	4.02066169	0.303921026	0.157694101	0.432941807	0.487851462	0.390884192	0.546013813	2.086201362	0.272722859	0.607312304	0.144768016	2.310862359	2.723954352	3.873940051	0.428757994	0.475733999	0.070885387	1.851498536	0.425250248	3.595739079	0.39906176	3.290329374	0.79705564	0.927128793	6.456628216	1.901365492	0.612550901	0.681476988	2.702064205	0.764778138	0.36534584	2.584149782	1.222815543	0.132388386	2.291154543	0.158419824	0.449063453	0.711303746	1.982646559	1.761021512	0.329081041	5.960835854	22.1550069
16034gf_27	GNC12	0.967582848	3.614592464	0.868982744	5.261909854	3.383898055	1.259127842	3.903063562	1.529593172	0.13782246	2.042199914	3.912543547	0.63481651	0.642513889	0.313435728	0.549173862	0.208867534	0.470241706	0.397501178	0.50067199	1.899615067	4.942666286	4.26802599	1.675686855	1.604748975	5.084630345	0.341791982	0.170495557	0.523002578	0.446665168	0.336055513	0.453920804	1.75516899	0.1664665	0.571916595	0.111541909	2.358297927	3.559255198	4.700109683	0.53176084	0.472082055	0.046312019	1.868148909	0.410435461	3.018784267	0.209689718	4.086425513	0.576915882	0.953860631	7.683910294	1.67460819	0.728572607	0.618611047	4.809436441	0.913217908	0.608554801	3.672820225	1.880465287	0.177869999	1.455044351	0.3480074	0.361831543	0.69542617	1.094175168	0.684237816	0.19371627	6.789019128	27.96182483
16037gf_27	GNC12	0.78377993	3.340358743	0.757151177	5.061155029	2.776036738	1.172756285	3.428614095	1.261078766	0.050972495	2.283470231	3.989595439	0.678637725	0.553980596	0.360350748	0.776213104	0.230270466	0.549558325	0.796287468	0.732817522	2.439523743	4.644664083	4.136125155	2.354583804	2.186749755	4.146371357	0.310977201	0.173029312	0.442393424	0.334187133	0.363853284	0.30464953	1.791930526	0.190306629	0.618713766	0.125976354	2.101734206	3.180731284	4.698080219	0.542566322	0.492027236	0.04898201	1.700159542	0.35130069	4.166959975	0.32706909	3.551459871	0.542440471	1.21658398	6.084243588	1.661578572	0.672629289	0.588611389	3.013491989	0.793180417	0.428906209	3.003857554	1.380746606	0.180229748	2.498424008	0.262783368	0.301564178	0.660381861	1.584521042	0.921726258	0.323361103	6.290786646	20.48182046
16040gf_17	GNC12	2.785691598	2.331705947	0.577146332	1.949107831	4.21591997	1.329027132	1.731433369	2.250477243	0.005961535	2.471127133	1.227906267	0.422670857	0.567601451	0.122209548	0.456460531	0.093792906	0.07951526	0.059794946	0.070868575	1.053428542	4.623063636	3.686463874	2.01388007	0.938765242	3.715644899	0.167370255	0.102596876	0.881187612	0.275597753	0.240437667	0.257003072	0.93452404	0.127004232	0.516167475	0.202745484	1.18878195	4.235309747	5.861019875	0.512470301	0.940919258	0.008138586	1.917239669	0.277886269	0.73594912	0.04704652	5.005781095	0.213151808	1.362510494	8.207819051	1.391425246	0.694842722	0.898257476	3.015816013	0.495471162	NA	4.724117726	5.448878695	2.050100042	3.689231482	2.930465759	18.41769161	1.048277266	3.083671954	2.760066595	0.925139667	NA	25.55181065
