	Code	Citric acid	Glutaric acid, 2-oxo-	Glycolic acid	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Asparagine	Aspartic acid	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Proline	Serine	Threonine	Valine	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A124002	A137012	A143003	A145016	A147011	A148006	A155004	A159003	A170001	A171003	A174001	A180002	A192014	A203003	A211001	A213001	A214003	A214004	A228001	A237001	A250001	A278005	A311002	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Quinic acid, 5-caffeoyl-, trans-	Sinapic acid, trans-	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerophosphoglycerol	Phosphoenolpyruvic acid	Phosphoric acid	Phosphoric acid monomethyl ester	Ascorbic acid	Dehydroascorbic acid dimer	Erythronic acid	Galactaric acid	Galactonic acid	Gluconic acid	Glyceric acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
15226if_14	FNC	4.21526227	4.471123499	3.316979976	7.489873972	2.970169047	5.012051348	4.157716054	1.888517657	0.054889694	0.883375769	0.281832132	5.869862171	1.656877192	3.237185408	0.059377867	1.268105356	0.513203257	0.071023614	0.917022718	0.426795551	0.478143362	0.332549386	7.781743386	7.474642511	2.439889736	16.13895423	1.376476227	0.0914362	4.630505354	1.889409808	1.835993686	2.921670486	1.032355608	4.465636398	1.56853838	4.776280234	8.877611606	NA	14.87039782	2.746491374	6.590970696	8.25597223	7.216713947	14.62339972	5.708493596	6.28116585	9.909173776	17.59560657	2.48641662	0.912322242	13.20766898	3.227222868	5.562387852	1.619173685	3.595432644	5.234470842	0.733291256	0.746832262	3.747501262	2.176339465	4.633451298	32.70396797	6.704538709	5.163676992	NA	1.715553667	6.73940149	4.281329114	1.053649931	0.827221451	3.01491463	0.101068728	7.552053726	10.46746163	1.683134836	6.862679584	19.70691987	17.37508825	9.242789051	3.206569976	18.62821944
15258if_28	FNC	4.5532259	4.565491899	3.51192867	7.420573609	3.70478063	2.819905916	5.614459512	2.751749415	0.034793879	1.806984305	1.818821123	3.029173414	0.630734477	4.332482941	1.796260391	0.882101001	0.568135548	0.383299345	NA	1.342609196	1.936292374	3.126601502	5.602947604	4.512298473	3.548752136	10.01534438	1.159701187	0.781291894	4.159068245	2.702128631	2.82078465	3.184892547	0.641377448	4.260313166	0.967304358	0.19383022	9.817176649	0.257638659	3.430310166	1.300170193	6.00288757	3.719997524	4.558866221	5.211057202	1.529713451	3.216574761	6.789172893	4.960667767	0.720706932	2.666552032	7.042505478	1.305073435	0.707037681	1.194459777	0.900298383	1.995859536	0.880359909	2.078554276	3.59342331	1.462087027	3.357383882	32.1860625	6.924051777	2.229501944	3.399192935	0.996941877	9.145247312	3.794728694	0.563330309	0.611854283	3.709455892	0.250544727	6.552048302	5.202319144	0.667123836	3.668771174	53.3433999	27.91347206	2.567552228	3.004865964	15.15324345
15273if_20	FNC	3.04543049	5.784828249	3.674305949	4.742923196	2.730079208	6.370657651	9.146938173	5.313502452	0.123631807	2.74064697	1.49067321	2.387503783	0.654549511	4.037417091	1.55609658	1.155523919	2.008515201	0.248479522	1.262296257	2.006947926	3.699526327	3.653699624	7.695987022	6.231686989	2.991489597	9.932502961	3.323401297	1.368927978	7.310303332	6.990029774	6.636646972	6.069504547	1.032084533	4.867130076	0.806247036	1.877289383	6.273210237	0.835333955	8.421411064	4.695884303	5.529504017	6.559708683	5.967238248	5.2455441	2.082636909	3.247842127	4.144135437	17.79567289	1.716374004	3.100049822	6.832398611	1.935417277	1.771557745	8.340239348	2.330193735	1.74279698	0.279733714	3.471720016	2.361736617	3.512434107	2.970333052	4.612258435	6.181883485	2.543437333	5.898475865	1.401345399	7.844143533	6.387469397	0.369854566	0.782964695	3.718389915	4.195924563	5.618832285	6.946818772	0.858368117	5.966949648	6.322614894	9.149108789	3.037082858	2.848182468	13.03213271
15288if_7	FNC	1.8172798	3.577043886	3.061191621	3.747191434	2.11577059	10.77286565	4.012833584	5.186962227	0.097130651	2.842366633	1.249695702	4.493302476	0.872982453	5.460642145	0.784824121	1.122290191	2.824007842	0.51654843	0.905248792	1.089451081	2.517579226	4.108795898	9.554670241	8.803350824	4.042053604	9.044075049	3.356497905	0.461227755	10.03797977	5.186449743	5.638760227	7.105016349	1.366471075	2.163109369	1.783729441	2.793842128	4.141455902	0.372547717	1.108969441	4.143762113	2.943961078	7.234194766	5.56239213	7.776836751	3.943246463	5.187863728	3.008658385	12.29667128	1.903824562	1.790991376	19.91998389	3.026811619	2.023394357	7.798488933	2.432686544	1.807482027	0.394215833	2.897784129	2.422029864	8.626975695	0.595293592	3.754054214	4.497927529	4.393209976	5.790649811	1.029315525	9.504727676	4.413501287	0.899121938	0.914827032	2.521764357	0.085618852	5.468943017	7.498539723	1.136386403	5.200909377	41.99085287	50.80513	4.806825489	5.338464906	27.89506331
15297if_30	FNC	2.750223151	2.784143163	6.642637533	5.36009609	2.941283571	5.59937814	6.600950512	2.2584215	0.200753423	2.355443763	3.554241678	2.309529248	2.845223988	4.536858148	0.838984141	0.639050121	3.266426112	0.494349323	0.475325013	1.48619427	2.242794966	8.560619832	5.993556994	4.826028439	2.891926436	10.43911076	3.712821242	1.430060495	5.699431852	4.258405715	4.449745855	4.369155759	0.613002698	4.094761785	0.774837841	2.389527382	7.611285329	0.320458966	10.93488691	1.825984078	4.803897436	4.978554889	5.264757794	5.615760167	1.71425939	3.165363422	4.949519802	7.032813198	1.292973615	4.875410915	9.660238982	2.903848854	1.22518023	3.946551664	1.940391986	3.754586349	0.79626759	2.932608452	3.437234065	4.2049651	3.074258673	12.18308957	5.959162973	1.632838087	4.250261369	1.140697753	8.050214836	3.370410433	0.733334529	0.931127123	3.702957403	2.19270223	7.221453546	6.844787042	0.659123279	4.520331088	101.3784429	43.83498643	2.518828037	3.732394028	12.80649124
15238if_4	FNES	0.824989754	6.959996536	3.719944037	1.5827865	3.758044446	11.35302655	14.01941475	12.09622351	0.029574569	0.729364917	NA	5.865036517	0.631842153	4.035886858	0.087074993	1.058111438	2.319426676	0.822431969	0.513021484	0.805913731	0.052413079	12.31133783	10.79719589	8.420467201	5.420685206	24.66902659	9.390017153	0.432620572	0.753649379	6.427547396	7.639149148	9.738090395	4.090159608	7.945419992	2.221104078	2.342805117	8.699895785	0.364648982	7.122275945	NA	12.03924341	NA	NA	NA	4.337417266	8.936392038	9.225147142	15.3665665	7.02960668	4.491360093	9.553559541	5.81933423	7.563852576	5.493903025	2.256048842	0.215872741	0.102656392	0.630527379	4.248378392	12.11255823	NA	47.69132081	9.960335026	NA	NA	5.249902555	14.63373807	8.273916148	1.05338184	2.235512587	8.203923797	11.98090387	5.625336951	12.76881524	0.194749082	6.908733053	124.8594569	83.21161639	10.15766405	3.831585281	25.745256
15261if_13	FNES	1.74354459	5.516527744	10.76704027	4.297908227	2.792033657	21.97895278	11.43123428	12.4785993	0.125718303	0.845039375	10.44764093	4.722937524	5.672814876	5.157923792	0.567092845	2.063714369	NA	0.678685027	0.376611152	3.764474523	3.330283455	7.196738273	10.76194248	10.49156359	4.490026021	15.98631447	7.556896918	2.18756431	12.4922408	7.830197598	9.053619472	12.96552948	3.629441532	4.938767413	7.346626841	1.656908975	8.655379154	1.074400653	3.508481866	8.722000581	12.86469893	12.02533549	14.68480917	13.91737134	3.605788278	6.499422893	9.535206787	10.78168999	3.315316575	5.509917299	13.66029141	4.015449203	4.564214722	7.713232473	2.953722865	0.759539278	0.1079216	0.707191322	3.382363615	7.68350037	3.809496046	5.184059029	8.159101126	8.038837865	8.878149252	3.619407111	15.57341865	7.106950234	2.5121206	4.323798027	NA	16.23462486	4.682251483	9.522012977	0.1768006	12.32860857	15.27145371	17.0211739	11.19759468	4.061964982	26.45650094
15277if_34	FNES	0.485908969	4.146552295	2.793390289	1.089886653	4.575188639	15.84236742	11.65460335	12.94908836	0.494946487	0.791077927	NA	5.5619927	2.235730284	12.21211298	1.235887221	1.500810087	5.40956382	0.827064011	3.952431595	2.687155959	3.220192628	10.04005391	11.6727674	15.63019461	NA	NA	1.11471953	2.680085343	8.098867882	9.422590432	12.44299116	24.12290911	6.325901085	3.857309935	3.266051609	0.317320047	7.638348314	0.676648944	9.402510391	NA	12.70426716	NA	NA	NA	5.125857362	6.529309205	11.5476569	16.40888131	1.749554604	2.662940079	5.855077845	6.687801167	3.214555474	1.03107068	NA	0.522431663	0.116779637	0.73110865	6.173018692	7.104349058	NA	NA	7.108103541	10.3782903	NA	6.281030189	17.94213208	7.141614185	1.788471776	2.366202175	NA	0.131009599	NA	15.38111628	0.147909999	16.20583934	NA	NA	10.66952335	4.005436154	NA
15288if_19	FNES	1.412810204	5.288499523	3.064249495	3.029083027	3.00116174	3.792261356	4.990896401	1.138378589	0.033489454	0.617747603	5.02681372	3.372308913	0.57578277	4.027048641	0.221972437	0.268578959	0.957297528	0.133170713	2.355025279	0.55899692	2.358981416	3.633651182	7.462170544	3.914003226	2.78836865	13.22071441	0.771753983	1.175770144	3.362161732	2.271784842	2.036516611	2.376001139	1.784495947	5.769230927	1.206456988	0.150485513	8.556581454	0.281262562	6.635218612	5.829175993	7.60840142	10.04670136	11.88631992	9.284522662	1.851525865	2.215428021	3.779497321	14.73393258	0.930738169	2.364665619	3.607051755	1.241635873	4.505988813	0.961334754	0.733652783	0.644928773	0.152952413	0.734542175	4.402437967	1.91925508	2.913486266	34.89908897	9.28006455	3.529654774	3.087357429	1.357042233	11.35278377	4.967002287	0.386545674	0.847466067	6.680545708	9.289010216	6.59054352	8.820120955	0.125583081	2.768604847	153.4416323	NA	4.449898319	5.405573074	15.52303031
15300if_15	FNES	1.160961688	3.744466526	2.934650882	2.353643125	2.743522333	10.17359914	5.942555243	6.550346812	0.030449367	0.752738517	3.397497817	4.829656385	1.282823614	4.501736207	1.273609568	1.799271087	2.643073194	0.925445482	0.592678407	4.144518969	2.622384874	3.672183489	7.673373267	6.96455401	6.142375377	21.68054285	4.734824488	2.412891631	10.8881416	7.346972089	8.568636963	7.507774333	4.950198297	4.445461679	6.431966185	0.223615836	7.68685578	0.266983243	6.162576868	5.494814768	7.647014341	8.98306137	11.35319438	12.28650026	3.639208401	4.479746342	6.588359676	18.39476045	2.619128479	5.819782909	5.722883913	2.335924859	4.841187736	0.974487592	1.938331345	0.302135343	0.667369193	0.745664175	2.846360109	5.743540859	3.938421729	8.03965344	6.92835985	4.187151665	10.26996336	3.726034534	15.90926394	5.218829046	1.375177128	4.83075993	10.43019398	30.55552592	5.712427683	12.37848873	0.17924908	10.14126186	NA	131.8476343	9.594650343	3.249256224	26.38272388
