	Code	Benzoic acid, 4-hydroxy-	Citric acid	Glutaric acid, 2-oxo-	Glycolic acid	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Asparagine	Aspartic acid	Butanoic acid, 4-amino-	Butyro-1,4-lactam	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Proline	Serine	Threonine	Tyrosine	Valine	4-Hydroxybenzaldehyde	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A124002	A143003	A145008	A145016	A147011	A148006	A155004	A157012	A159003	A170001	A171003	A174001	A176001	A180002	A203003	A211001	A213001	A214003	A221004	A228001	A237001	A237002	A250001	A311002	Ornithine	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Spermidine	Cinnamic acid, 4-hydroxy-, trans-	Ethanolaminephosphate	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerol-3-phosphate	Glycerophosphoglycerol	Inositol-phosphate, myo-	Phosphoric acid	Phosphoric acid monomethyl ester	Erythronic acid	Galactaric acid	Galactonic acid	Gluconic acid	Glyceric acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
15238if_5	FNC	2.154848373	8.606843346	2.481306333	3.453639201	6.409526937	8.743671347	1.19020708	4.872732234	1.316526595	4.241833217	12.96782728	3.870073759	6.92869819	3.029160832	10.36148212	8.821057924	2.853643454	1.838428131	0.915786536	2.686603337	2.956896839	7.200096257	7.335107443	5.638489707	3.593890087	4.925771048	1.21530223	7.174359882	7.129508015	1.213483911	2.365376038	0.887181949	9.678910021	4.364445021	1.437298192	1.543157285	2.379578386	0.381574624	7.810567796	2.497112122	0.52458071	9.40673103	1.974857735	11.72172082	1.994344417	2.862920095	0.530950554	0.62601312	0.500626557	8.955260248	5.706486584	5.124358778	1.891020086	0.656615916	2.297066936	2.487668621	1.048993539	2.74451127	0.66736974	1.25459839	8.084271467	5.745152832	4.271012513	0.279287383	6.855216168	8.252219325	1.726222511	10.76119045	3.409916625	0.872536685	3.009667391	3.05708229	1.377592213	0.597754313	2.976113859	0.267327005	0.392777033	2.330778994	0.24174838	9.897591003	0.696234292	0.416544979	3.321975363	70.70200003	45.70231115	0.78673141	2.006322686	14.85188489
15238if_27	FNC	0.620438573	14.20263608	1.041571064	3.33435321	8.262647866	12.13036788	0.559370472	2.887450583	1.970532641	3.739860921	3.544735622	5.45454592	23.06827486	2.922770795	9.446444993	8.525571843	8.019778333	1.13743757	0.301039659	1.333346142	1.373598833	38.60346543	8.043732203	4.047090651	1.457317359	3.567067146	2.274963559	3.584432586	3.588106672	1.730220187	1.394712376	0.895079813	3.090784277	4.342289007	0.818930268	0.709423958	1.035221214	0.151632781	2.824591764	1.48969169	0.281298911	3.56283269	1.235857617	6.712706194	1.06730953	1.603448914	0.247002536	0.162725219	0.124190585	1.597301258	3.063065068	2.638314399	1.972041718	0.051595728	0.63508274	1.31190539	0.577264235	1.312987095	0.281144054	1.389404416	4.328044545	6.39794071	1.62483686	0.096586572	2.111755572	3.228651935	0.450927036	12.23180055	2.103857745	0.388080638	1.013202434	1.519632901	0.655787378	0.160340383	2.346709887	0.106998163	0.090053727	2.253852053	0.21791885	14.69037757	0.337007877	0.406747693	1.627252174	37.73605743	37.08309491	0.054607758	0.593626119	11.73891707
15264if_8	FNC	1.145954851	8.806694749	1.445407359	5.605240433	5.625187891	12.84917128	1.431959237	4.711728374	1.105075625	4.318369294	7.398998137	6.521104342	8.987293415	3.729149261	9.480974735	9.183098611	3.829571422	1.778128586	0.854584381	1.530046034	2.001296296	14.29089984	9.012883503	5.127074187	2.314624172	5.40473312	2.144380484	5.321338181	4.933988863	1.526061305	2.212169793	1.145498428	4.887488328	8.984883675	0.900851892	0.786393091	1.786935964	0.173639774	5.962903484	1.82444799	0.300560476	5.622904567	1.106146357	6.784612742	0.793039451	2.024477318	0.400483539	0.474571237	0.432294302	5.093647712	4.241055107	3.307938011	1.387501642	0.469612753	1.108282497	3.006176492	0.675004128	1.872078694	0.53770039	0.755641065	6.268898643	3.501940935	3.372346813	0.144247487	4.908684982	5.273790647	0.911353365	14.87230846	3.053141927	0.591265991	2.215918233	2.404907386	1.317537347	0.454517999	2.970158677	0.143106023	0.16511238	3.73629786	0.110144248	12.02046247	0.436424659	0.367561878	2.042380205	15.56219233	37.07305817	0.364777944	1.014316251	16.20692285
15277if_26	FNC	0.904771476	11.18748659	1.027774667	3.858598893	7.213408299	11.15547951	0.870615807	3.306821081	1.352862367	2.562493349	4.294988552	5.602719242	8.893886298	2.621840377	9.700428679	8.490233059	4.851682313	1.159626646	0.677470108	1.707261445	1.045259687	2.423561888	7.977819462	4.607419223	2.258016129	2.740024782	1.489644709	3.922795632	3.475394518	1.236134818	1.938226384	1.356229054	4.578465891	5.854010788	0.734764445	0.610451529	1.330211695	0.089720586	3.352386093	1.691218993	0.310409188	5.134010654	1.189634751	6.110008867	0.630576598	1.301581521	0.145407979	0.272563592	0.20809993	3.859889575	2.974539186	2.096733863	2.911780862	0.200899381	1.162627314	2.160829505	0.522392809	2.078817138	0.343559073	1.342105126	5.525881744	9.783254899	2.253775937	0.100526435	3.099604683	3.071503865	0.710400037	11.37841526	2.376888459	0.350295034	1.8211333	1.740926823	0.684026285	0.244133776	1.792735972	0.091438392	0.133304201	2.37857634	0.298957381	12.0613866	0.809364165	0.499973122	1.3069976	2.946782778	1.89145435	0.287769478	1.110423624	12.86460044
15291if_14	FNC	0.465799693	10.98794979	1.484002573	4.655966765	6.891775222	12.35733205	1.051795815	4.774258698	1.795987684	3.332024717	6.199831706	5.183701359	25.36326248	1.560473413	9.22267615	7.991370483	5.102955811	1.367550903	0.512065872	1.918883421	1.838142069	85.94269056	7.932079718	4.721659713	2.278236895	4.442453097	1.24417959	5.352024617	5.137423688	1.946286341	1.546005123	1.550249943	4.900825868	6.593351651	1.239055396	1.194530873	1.876502668	0.174205079	3.803601048	1.764338592	0.381203579	5.670205923	1.311181339	8.64084069	0.925489257	2.250268378	0.395441387	0.439457566	0.332136413	5.580464364	4.550341488	3.564534774	4.024712209	0.542276716	1.392501322	2.785170483	0.7689702	1.603157437	0.447708759	1.416467165	6.067639655	5.453629424	2.928691162	0.150760223	4.747018854	5.675350012	1.187246026	10.29776501	2.683616651	0.574074364	2.075519572	2.389330266	1.144142974	0.385186587	2.942063239	0.103070131	0.352026089	4.143522975	0.275059741	14.64090317	0.53373366	0.367547817	1.880704518	56.8115591	25.46155778	0.401344931	1.159195677	17.52502864
15238if_11	FNES	2.930420564	8.049435402	2.475930464	18.21758324	6.654049042	9.097337577	5.219884315	8.84287994	4.106951994	6.724236407	7.976300001	5.079883668	6.797110541	14.78033931	10.48744727	7.246345792	7.267041824	1.885359643	2.053360844	3.931024111	3.308572326	1.33438143	8.83793216	6.002592167	2.815270675	5.747644796	1.184069614	6.598834854	6.523105296	NA	8.499651856	4.126285691	11.24803906	14.7476793	2.289711997	2.469083397	2.949583301	0.566215985	6.323267636	1.950284888	0.897844935	6.62434212	1.124653206	12.83814051	2.207771873	4.227359877	0.558932565	0.92703192	0.757447495	6.881350573	5.421580586	7.129572909	6.733660115	0.668969318	3.497757348	2.515424712	1.448207804	4.069551272	1.71652388	1.290009996	7.111452942	8.181615694	4.640510197	0.164016702	8.099391934	7.174781536	1.631607673	10.72463879	14.02505583	1.049591091	4.20841106	4.174061409	1.759259033	0.728468184	4.008293116	0.804787393	0.641897255	2.477098898	0.235002287	8.887403307	0.540899569	0.413849824	3.84305111	2.920025047	4.699400888	0.988531473	2.191003461	18.90082257
15261if_20	FNES	0.424674017	13.72626676	1.111323352	2.313799787	8.180069806	13.6090367	0.793458601	4.773503475	1.680404987	6.419886539	5.911934342	5.57094239	23.0686132	1.209589613	9.535628451	7.305399175	5.897716777	1.583321378	0.408701384	1.308557392	2.349276335	41.78798831	8.23781661	5.580700994	2.573913618	3.296687001	3.132738331	4.798488902	4.803180929	1.356044763	1.051643768	0.611858492	4.764736856	2.235167138	0.682035477	0.633806156	0.978641295	0.20228275	6.568644802	0.926194779	0.507825097	4.474007396	0.608080324	6.052995327	1.817736497	2.847187311	0.424247353	0.519335468	0.581653535	4.54895312	4.006554852	4.826792219	5.057851184	0.51187266	1.491850791	1.773966979	0.903594475	0.811450558	0.258832705	1.219187087	5.051667304	8.174924803	3.595823082	0.079951966	4.406343143	4.379612377	0.759872592	9.580595818	1.848462523	0.580089606	2.32806675	2.209716955	1.145329973	0.347800321	2.260677497	0.204902643	0.232142366	2.049598654	0.132682468	14.05769528	0.349598431	0.272621223	1.716097006	41.04578439	36.66663411	0.452502552	1.399196163	12.12164238
15277if_35	FNES	3.860933524	7.538355847	4.286751039	13.42609919	5.559385232	8.911903217	4.423694138	7.010544785	6.283771511	12.50893246	14.6406198	3.698631332	36.12768365	11.77603513	10.20670675	5.725126065	5.234152325	2.823984766	1.312563368	4.005086178	4.980559285	89.60471761	8.066242736	4.612551378	3.736938415	4.560012335	1.615877509	NA	NA	NA	4.717176975	1.361155247	15.67204141	5.841835237	2.988075986	2.722601408	1.358847434	0.663121795	13.39209436	3.574533907	1.20423414	9.205465175	1.40111218	17.81734579	1.079583464	10.00356066	NA	NA	1.103794905	12.20915521	10.33946684	13.46086664	9.764659461	1.920081498	2.130137237	4.563633041	2.806745073	1.988543141	1.595034507	4.979448891	9.020569994	3.891178469	8.548304893	0.182105061	9.770333577	10.01305508	3.043769713	8.291341883	10.61904387	2.178608889	NA	6.617589304	3.753105965	1.213085548	5.743550579	NA	1.14632301	2.02666104	0.286531289	10.69737783	1.577037856	0.495128544	7.527618204	112.0966787	NA	1.225912781	2.118670058	27.91238911
15288if_16	FNES	1.150450368	10.1021029	1.76900062	5.680488346	6.453126062	10.93694581	0.911744579	7.036226292	1.070883675	7.238927076	7.795940027	5.361019213	15.13815316	1.94600516	7.841794356	7.877968864	5.216443756	1.414701694	0.335344888	2.279551379	2.229504423	17.03650905	6.887437951	5.557756623	4.173357082	5.536884361	2.64149904	5.850151855	4.605853939	1.474452083	1.088908546	0.634990186	3.349153211	2.752547935	0.475782609	0.345248719	0.390537457	0.243341888	2.748702066	1.315900577	0.524663481	3.156226486	0.504800583	5.403051557	2.283913011	4.379290728	0.433156932	0.288025019	0.573729916	3.33210379	5.546746767	5.747245205	1.913691235	0.229304165	1.430793041	2.334659121	0.671674786	0.931618108	0.313137388	3.694427356	7.207694213	12.05265676	3.307385735	0.151778954	5.207410766	6.847481637	0.456593739	10.14484047	2.41635793	0.601768555	2.137954568	2.319388039	1.109386681	0.636477754	2.270431097	0.172816217	0.168739596	2.152199487	0.218053988	12.12201268	0.316880684	0.360131783	1.73944116	26.63060754	24.69578002	0.329969518	1.5942763	10.76674606
15300if_8	FNES	1.139033351	8.251112577	1.69891104	6.080888711	6.959797836	7.684001984	1.299035076	5.809371746	1.866796216	6.041530295	5.864584977	4.154036134	13.87893257	3.348946747	8.956810631	6.065783787	4.96804045	1.281215926	0.618258187	4.684971189	1.765668035	15.92529005	6.146089367	4.551292172	2.415289228	3.376322704	1.724962518	5.920493812	5.081189594	1.888280381	2.208514538	1.349493031	6.571727416	5.76912122	1.321555456	1.377153977	1.437626861	0.434226471	3.404485571	1.455855267	0.640102239	4.144036361	0.913115289	9.610801801	2.433356436	3.218703212	1.24931529	0.427490112	0.393310834	5.988010501	4.571328228	5.504090946	3.861015957	1.162667347	1.349523822	1.608277103	0.843044927	1.374859952	0.514633867	2.852060929	6.620940783	12.81940398	3.142516828	0.117339901	12.63987913	5.686856609	1.035118268	8.587755286	6.725394493	0.712362055	2.304347547	2.559355652	1.267766805	0.211679191	2.314431965	0.58450311	0.50062399	1.559216869	0.342725787	8.476263176	0.522480091	0.588837212	2.240851025	22.641343	19.68570226	0.447069571	1.806288297	13.83116537
