Leaf-Control-Flowering-N22	Leaf-Control-Flowering-N22	Leaf-Control-Flowering-N22	Leaf-Control-Flowering-N22	Leaf-Control-Flowering-N22	Leaf-Heat&Drought-EGFStartofstress-N22	Leaf-Heat&Drought-EGFStartofstress-N22	Leaf-Heat&Drought-EGFStartofstress-N22	Leaf-Heat&Drought-EGFStartofstress-N22	Leaf-Heat&Drought-EGFStartofstress-N22	Leaf-Heat&Drought-FLEndofstress-N22	Leaf-Heat&Drought-FLEndofstress-N22	Leaf-Heat&Drought-FLEndofstress-N22	Leaf-Heat&Drought-FLEndofstress-N22	Leaf-Heat&Drought-FLEndofstress-N22	Leaf-Control-Flowering-Dular	Leaf-Control-Flowering-Dular	Leaf-Control-Flowering-Dular	Leaf-Control-Flowering-Dular	Leaf-Control-Flowering-Dular	Leaf-Heat&Drought-EGFStartofstress-Dular	Leaf-Heat&Drought-EGFStartofstress-Dular	Leaf-Heat&Drought-EGFStartofstress-Dular	Leaf-Heat&Drought-EGFStartofstress-Dular	Leaf-Heat&Drought-EGFStartofstress-Dular	Leaf-Heat&Drought-FLEndofstress-Dular	Leaf-Heat&Drought-FLEndofstress-Dular	Leaf-Heat&Drought-FLEndofstress-Dular	Leaf-Heat&Drought-FLEndofstress-Dular	Leaf-Heat&Drought-FLEndofstress-Dular	Leaf-Control-Flowering-Anjali	Leaf-Control-Flowering-Anjali	Leaf-Control-Flowering-Anjali	Leaf-Control-Flowering-Anjali	Leaf-Control-Flowering-Anjali	Leaf-Heat&Drought-EGFStartofstress-Anjali	Leaf-Heat&Drought-EGFStartofstress-Anjali	Leaf-Heat&Drought-EGFStartofstress-Anjali	Leaf-Heat&Drought-EGFStartofstress-Anjali	Leaf-Heat&Drought-EGFStartofstress-Anjali	Leaf-Heat&Drought-FLEndofstress-Anjali	Leaf-Heat&Drought-FLEndofstress-Anjali	Leaf-Heat&Drought-FLEndofstress-Anjali	Leaf-Heat&Drought-FLEndofstress-Anjali	Leaf-Heat&Drought-FLEndofstress-Anjali	Leaf-Control-EGFEndofstress-N22	Leaf-Control-EGFEndofstress-N22	Leaf-Control-EGFEndofstress-N22	Leaf-Control-EGFEndofstress-N22	Leaf-Control-EGFEndofstress-N22	Leaf-Heat&Drought-EGFEndofstress-N22	Leaf-Heat&Drought-EGFEndofstress-N22	Leaf-Heat&Drought-EGFEndofstress-N22	Leaf-Heat&Drought-EGFEndofstress-N22	Leaf-Heat&Drought-EGFEndofstress-N22	Leaf-Control-EGFEndofstress-Dular	Leaf-Control-EGFEndofstress-Dular	Leaf-Control-EGFEndofstress-Dular	Leaf-Control-EGFEndofstress-Dular	Leaf-Control-EGFEndofstress-Dular	Leaf-Heat&Drought-EGFEndofstress-Dular	Leaf-Heat&Drought-EGFEndofstress-Dular	Leaf-Heat&Drought-EGFEndofstress-Dular	Leaf-Heat&Drought-EGFEndofstress-Dular	Leaf-Heat&Drought-EGFEndofstress-Dular	Leaf-Control-EGFEndofstress-Anjali	Leaf-Control-EGFEndofstress-Anjali	Leaf-Control-EGFEndofstress-Anjali	Leaf-Control-EGFEndofstress-Anjali	Leaf-Control-EGFEndofstress-Anjali	Leaf-Heat&Drought-EGFEndofstress-Anjali	Leaf-Heat&Drought-EGFEndofstress-Anjali	Leaf-Heat&Drought-EGFEndofstress-Anjali	Leaf-Heat&Drought-EGFEndofstress-Anjali	Leaf-Heat&Drought-EGFEndofstress-Anjali	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Control-EGFEndofstress-N22	Spikelet-Control-EGFEndofstress-N22	Spikelet-Control-EGFEndofstress-N22	Spikelet-Control-EGFEndofstress-N22	Spikelet-Control-EGFEndofstress-N22	Spikelet-Heat&Drought-EGFEndofstress-N22	Spikelet-Heat&Drought-EGFEndofstress-N22	Spikelet-Heat&Drought-EGFEndofstress-N22	Spikelet-Heat&Drought-EGFEndofstress-N22	Spikelet-Heat&Drought-EGFEndofstress-N22	Spikelet-Control-EGFEndofstress-Dular	Spikelet-Control-EGFEndofstress-Dular	Spikelet-Control-EGFEndofstress-Dular	Spikelet-Control-EGFEndofstress-Dular	Spikelet-Control-EGFEndofstress-Dular	Spikelet-Heat&Drought-EGFEndofstress-Dular	Spikelet-Heat&Drought-EGFEndofstress-Dular	Spikelet-Heat&Drought-EGFEndofstress-Dular	Spikelet-Heat&Drought-EGFEndofstress-Dular	Spikelet-Heat&Drought-EGFEndofstress-Dular	Spikelet-Control-EGFEndofstress-Anjali	Spikelet-Control-EGFEndofstress-Anjali	Spikelet-Control-EGFEndofstress-Anjali	Spikelet-Control-EGFEndofstress-Anjali	Spikelet-Control-EGFEndofstress-Anjali	Spikelet-Heat&Drought-EGFEndofstress-Anjali	Spikelet-Heat&Drought-EGFEndofstress-Anjali	Spikelet-Heat&Drought-EGFEndofstress-Anjali	Spikelet-Heat&Drought-EGFEndofstress-Anjali	Spikelet-Heat&Drought-EGFEndofstress-Anjali
1.823468066	0.526691121	0.421041199	0.54937147	1.180028292	2.004678118	0.44535081	1.247673559		1.796373007	0.35224759	0.271281097	1.320351234	0.635215083	1.607329212	1.64209086	0.79698822	1.505194117	1.587004605	1.053198253	2.37579222	1.211133291	1.35838244	1.11266309	1.107373723	1.519985082	0.686703079	0.693571837	0.680055208	0.73052328	0.547913509	0.528971825	0.614096836	1.121945729	0.647487014	0.433860391	1.904381575	0.73289419	0.601815912	0.89423309	0.711001263	0.537538844	1.247195178	0.491102429	0.888471757	0.560056904	1.673111801	0.633323756	1.379139906	0.886325978	1.320896654	0.649054105	0.469444446	0.53360882	1.368080732	1.090226448	1.647730653	1.502060247	0.621089519	2.193537449	1.081461702	1.343290161	0.729726402	0.888931076	0.689472694	1.267062526	0.581303573	1.072555104	0.507373687	1.021177149	0.50904481	0.528769784	0.533134082		0.725626339	1.22342103	1.018665907	0.452882971	0.689934591	1.365602545	0.877933135	0.809607221	0.897236984	0.928162539	3.178325381	1.227599527	1.018344882	0.910260613	1.147305341	0.949634729	7.98732656	15.87483722	8.130792046	7.598382708	8.285749665	7.166602165	4.46264816	5.046251735	4.668917729	4.791879906	3.694704543	2.818784457	2.612260072	2.807187074	1.057624377	1.243272353	1.218352717	1.203533023	0.835650611	0.917027995	0.709600675	1.309118309	1.497927559	1.17135673	1.136402857	1.017387871	1.244777941	1.243208212	1.071281664	1.395919324		0.514153194	0.566686624	0.664510268	0.522562366	0.54617554	0.683186712		0.733856211	0.747804429	7.899296918	7.385827763	4.219528819	3.732436539	0.846304266	2.99178952	3.30386341	3.259212536	6.897983273	5.153609713	0.613558324		0.640867852	0.72185638	0.79025513	0.795913069		0.57767952		0.568374899
7.920012159	8.744104517	3.662242	5.030414856	3.316597624	5.121377141	3.537962006	4.596608424	5.088567192	7.066786661	1.559559384	1.144366813	2.538169374	2.786705826	4.461445534	4.807708654	4.192311575	3.279309307	5.793080085	2.858366567	3.292924461	4.551036061	5.073671003	5.233116016	6.006334503	1.823206102	1.651291461	1.363506383	2.390633021	0.846822436	2.043404892	2.502914234	3.549285223	5.165345328	3.010936933	1.808287661	6.235765157	3.476464197	4.155328444	3.441707516	2.095381626	1.954176016	1.889866576	2.64328446	0.948182398	7.115264418	4.629213398	7.037657875	3.30184626	6.064942862	2.022801233	3.537805268	1.39019317	1.987556274	3.048083812	1.904399459	3.833489667	10.13829435	4.334256044	6.11594943	1.87722859	1.882789243	2.861249757	1.719537965	0.667984316	4.392482315	12.13937442	4.522106501	5.187944007	2.204711495	1.146568527	1.350774169	2.075542985	0.618954152	1.904601936	1.877582663	4.61379022	3.366487964	3.922987934	3.168716441	4.999247898	5.678200364	4.931764945	7.226226484	1.42973642	5.182402332	5.881582077	4.26285643	4.594596188	2.384229493	2.918934652	4.448388379	3.065700383	2.394352487	1.937997921	2.990030835	3.882297182	3.881782011	2.134818786	2.366006696	1.423531365	3.771463061	2.903780676	2.585080315	4.609350572	5.49135419	2.819494238	3.01002268	2.623606181	2.661362266	3.412811997	4.589176415	3.308968496	2.538924045	3.086021719	2.108290692	2.812525762	3.552139442	1.98197355	2.143092721	2.98606256	4.071834434	3.68283287	2.68598974	3.555745937	5.041218274	2.885622395	4.574181016	2.358697036	2.135581561	4.000720164	4.095040906	3.766681183	3.633477991	1.68923371	4.473370757	5.441275938	5.936645888	6.004148146	3.515157177	2.769809733	1.697048077	2.515518035	2.071963885	2.049588582	3.906586406	3.555620029	3.62594227	3.05123806	1.049475086
5.979527732	8.288863565	4.522584155	6.798439045	3.12073275	13.83706247	3.695107887	8.839924775	4.603827724	11.36825349	6.839068255	7.831633512	7.595178509	6.006333086	6.953347882	11.5461723	7.250227663	9.363814803	8.89828506	4.963579679	10.57443825	8.742894867	6.375746426	7.928736358	9.361112869	10.45660797	9.367620609	14.20842521	6.528568701	5.855747747	4.116227859	3.597545991	4.440934019	5.79839332	4.234504127	5.418607587	13.68422615	6.178807795	7.928435319	6.39948215	11.51456437	7.474044063	5.446855539	8.261542073	3.71454958	4.962868374	8.26020218	7.155140684	15.73801283	5.494742676	10.04853222	4.030201428	7.795013821	8.045826236	4.060426264	8.307394339	5.909159588	7.4067571	2.566571487	9.999263676	5.870649027	8.718596193	4.984285731	6.677007099	6.427144525	4.783328993	7.318486301	5.597753244	5.265373473	3.47560881	6.448597977	6.016341262	15.49840324	3.251858587	6.199385268	3.710193099	1.480063768	1.458358777	2.203815053	3.77209563	2.899184671	1.434605292	1.696004258	3.364009764	2.89344782	4.09082967	1.487274444	1.227330547	3.42164481	3.142688083	4.017202936	2.699746214	2.226825726	3.865961178	4.621569753	3.030688396	4.326428037	3.220306927	2.694692953	3.370020958	4.172885282	2.561654603	2.454530476	3.393386847	3.577931916	4.673737855	1.679425543	2.007150217	3.435380859	4.052240348	2.590997766	1.580029294	1.84870653	2.626516386	2.466534719	3.049857087	1.373339894	1.524472825	3.415884593	2.510014246	2.81041136	1.609438345	1.51234382	0.90797238	2.130405568	1.69000162	2.058633712	1.701868398	1.425605769	3.407418695	4.357299986	2.554593164	2.481521051	4.263143202	2.55344856	4.329609806	2.193689747	1.946328888	3.932123545	3.984678316	1.959029564	1.885894676	1.514025675	1.441431084	3.287225266	2.766316671	1.69925377	1.440193157	3.398194855	2.746546801
0.721081953	1.285641993	0.532475009	0.590956366	0.474277025	4.591842407	0.760190992	3.753473991	0.895173557	1.982079669	1.532882398	1.349690115	3.660457419	3.563304578	1.488470948	1.748255904	1.493465127	2.073183509	1.910509373	1.191179219	3.364370663	2.732161835	2.359078243	2.31114708	2.787724163	5.710824688	3.573427449	6.315204419	3.63352393	6.613730353	3.037571335	0.583356182	1.107508797	1.488901213	1.327570543	2.881704359	3.907272904	2.870629702	2.105396224	2.434680021	2.424110615	1.780863558	2.006735894	1.968120744	2.129617081	1.384855264	1.647460606	1.667528277	2.035515016	0.957427483	1.919434905	1.486609046	2.42598198	2.26708841	1.61467864	4.89998351	1.860830461	3.230809216	1.166127569	4.679012818	5.526815225	3.827871233	2.768940951	8.782100694	4.198016731	2.096817986	1.524857064	1.429344601	0.964153785	0.691751402	2.124821298	1.643884436	2.130181156	0.847726214	2.350245477	0.916794566	2.691119315	1.829569646	1.763936539	1.458389022	2.283728015	2.433232813	2.81357213	1.887537928	3.46949509	3.102027866	2.564514396	1.40563156	1.176714259	1.4275239	5.073108783	7.098732186	6.206652321	6.350321666	5.095357203	4.079181882	6.017062152	4.561297596	3.990505307	2.723842641	2.297316937	3.177821573	2.987097944	2.64772642	2.495813514	2.708092117	2.082938606	1.230123062	1.255266861	1.513223844	1.601188262	1.462762845	0.947880993	1.978218077	1.112875527	1.512738662	1.698802665	3.001531879	2.014318286	1.665471662	1.327718229	1.400078874	0.790477022	1.709236855	1.751534211	1.806639514	2.028295845	2.784514184	1.724843459	1.054834334	3.825597818	3.301888565	4.612444404	3.287889677	1.094026266	3.902650054	3.005426328	2.21409791	2.446190723	3.761915982	1.429540442	1.986524485	1.559593542	1.52023391	0.614828894	2.464730605	1.92317586	1.695728801	1.408889147	1.037386551
3.508147482	0.965319044	4.217013416			16.35884381	5.261733387	12.51234691	24.00070102	2.928964611	1.148458945	6.868142901	3.425665685	3.390826463		7.253612358	5.001163809	3.374003366			9.90199758	12.62120698	8.171318409	6.405402864		3.893441247	2.264173169	2.081366652			2.752167179	2.520933131	3.260068219	4.140938784		2.514002636	22.50899138	6.14915081	6.243149826	1.736119891	1.43930788	1.45697788	6.9393419			2.855855084	2.559077959	0.818459072	1.432189596	0.554996205	2.895927597	0.827234744	1.131878059			2.512900261	1.211694989	8.323932388	1.302078826		1.259506423	3.570462987	0.425990362	1.9703955		5.433025529	1.002808623	5.262832645	0.556674088		2.578737455	2.408179449	1.746842269	0.092418018																																																														2.656192003														
9.799605003	8.92549222	6.796831711	6.911259271	5.184782809	10.99621659	4.911452491	5.87968722	8.433462549	6.942063747	1.298432707	1.032405587	3.212150083	3.822484248	5.357990796	8.837769735	7.379638793	4.860697344	9.072418369	4.599367271	6.145350988	7.037476714	5.153228713	6.421542488	7.229820387	1.401901266	1.229198391	1.156934245	2.170796606	1.003065805	15.37496048	13.74787619	8.482991877	7.693635297	6.895807955	15.56609835	9.575138712	7.145113349	5.671218232	5.390433069	2.047660936	1.817507602	3.257576557	1.38315596	1.684625557	10.49389289	9.192313815	6.445716183	4.895583184	5.027016228	2.294706158	3.598376563	1.268881092	1.647141153	2.284812208	3.895435838	6.386622227	7.203034006	12.16265816	5.609239533	0.965845773	2.843865682	3.253384398	1.503286218	0.725718139	10.3376757	9.899190812	9.476236684	8.703614662	8.389200811	2.199888548	1.894509267	2.843700325	1.033321229	3.308975273	9.981429186	21.94315877	22.80034145	25.27439246	13.86110404	17.28998918	23.17039288	18.58524889	28.2149693	12.52591594	18.22787612	20.07699293	18.19475452	19.29842536	12.24593907	21.69835625	18.6749407	21.54441218	15.53553667	14.14304906	13.58645952	22.64952261	21.70386009	10.9650714	13.27644987	9.883878505	17.33944847	24.90582663	26.01116436	18.69388468	18.02261079	16.47016267	17.93731306	17.00631991	13.44278398	25.14124139	15.86386018	16.73728206	17.13606077	26.3627856	17.87442617	15.31830921	24.86747786	16.8906082	15.19578092	21.62387766	21.47971977	19.21417804	11.53742362	21.28224733	19.78390497	19.73663266	27.69762161	14.24799075	13.65658839	18.32603317	19.9174028	20.99536124	24.1205209	21.21425778	19.56379208	17.85546482	21.13320734	20.26828366	18.97912601	16.4289481	22.1197531	19.3395318	14.73636515	14.74418279	20.09020321	20.15958822	24.06627322	25.30252116	14.79366776
5.158628131	2.186995206	1.976208978	1.763647016	3.961973219	12.09212515	2.601664943	9.078475061		7.450742477	4.076453555	1.351826924	7.3468171	8.083768169	9.765027332	6.262328669	3.102772025	2.866218474	6.080679584	3.069268883	8.056487506	6.573860396	7.586385268	6.061725591	11.05531664	6.970498082	2.883099764	5.22652143	4.865920173	4.956544993	4.525067779	1.812715071	3.696154131	4.977847884	6.432491387	8.096877081	9.804817746	4.93945006	5.109321867	8.040051713	7.10547401	5.623667802	10.60010138	6.189184361	4.901263904	3.302201646	7.937077365	2.536636253	7.357989995	6.993732086	7.159369327	5.794903641	3.853385452	5.017974873	6.926206891	4.578981016	1.044608684	5.652715112		8.453633294	5.867691625	6.284800955	7.00408363	6.054515582	3.446144016	5.18920231	2.076512451	6.720012599	5.241099404	4.897386204	4.242276808	1.885764597	9.277698628	1.27350185	5.989511337	8.54737345	3.718083024	3.98347692	3.440008803	5.94922208	5.137536195	3.508013043	3.342327521	4.904205771	1.32366321	4.468808258	3.373053255	3.546404525	3.730483472	7.83332165	3.68840175	4.42355541	3.331133176	3.654332966	5.858563714	3.854164343	3.562176583	3.495681802	3.060292639	4.625882506	5.815195823	2.822714995	3.521606778	3.853049088	6.471384352	4.296167905	3.580754077	4.218885638	3.80660223	5.133858328	2.964243481	3.047781326	4.178321682	3.669493515	3.923703875	3.347573782	3.034923444	2.717451608	2.748197532	4.435100617	2.25253911	2.143287358	2.410970294		2.5963136	2.323021464	2.581535341	2.65445639		1.287124943	2.700185448	2.08867215	2.354982928	3.94653262	2.195714168	3.175836332	1.951471437	3.095599489	3.086344937	3.415872163	1.699422449	4.338681826	1.816932153	1.658083884	3.172731359	2.429615899	2.509944266	2.585799779	2.432395776	
1.9573642	1.907377215	0.895427842	1.424496461	1.000742354	0.891500168	0.448005707	0.792842706	0.366439531	0.954966313	0.968802458	0.644376484	1.844881785	2.038386047	1.99197094	3.102527101	3.002766259	2.161260392	4.067613819	1.335635675	1.175730162	1.546422344	1.401578877	1.259556645	1.266688176	2.755590995	2.51731335	1.852603723	2.297373466	1.274043101	1.770084229	2.202813424	1.685470516	3.487762835	2.021128442	0.745762961	0.96691844	1.039898116	0.545361898	0.548314026	2.631649561	3.371304674	2.318032298	2.289872023	1.053341413	1.521233684	3.305702269	1.773128594	2.731043316	1.832221279	1.797021632	1.424585927	0.91136683	1.460820925	1.284882477	1.38435205	0.9899769	2.686304194	0.82679028	3.170372337	1.086591458	1.622973621	1.532006629	2.580243337	1.094723914	2.453425273	2.648980818	2.834184025	2.940640825	2.140646046	1.663114738	1.814465748	5.628799156	0.802411189	2.003137891	1.133806549	1.68676883	1.197448605	1.265069485	2.349795787	1.960155654	2.129825139	2.492457614	2.425395263	3.910650928	2.948747981	2.968104268	2.036644182	1.793522978	1.420900752	1.312891056	2.124559517	1.508549917	1.045854261	1.194284717	2.056727153	1.887171335	2.386525518	1.697733402	1.495938118	1.175896422	1.84665968	1.836831186	1.731647242	2.21914496	1.972648421	1.884944504	1.774522487	1.703677035	1.60692271	1.753834009	2.228346975	2.483012753	2.178273069	1.671357225	1.51107604	2.193958967	1.834065593	1.695805403	1.614735119	1.916388294	2.677753773	2.24957909	0.643230298	1.788547483	2.384098371	2.220085662	2.839542242	1.976234952	1.965017284	2.899481724	5.432527422	4.205332825	4.933019448	3.595543303	2.662542402	2.843191381	2.724507511	2.657479111	2.805807031	3.718533717	2.124985914	2.765218183	3.136138621	3.395797332	2.965779008	3.461506141	2.896021596	3.037602131	4.42836727
																																																																																9.601575102					13.30513483										8.0371375			6.899648687	8.113701119																																							10.85411495											
3.440280866	4.505770184	3.022193144	5.336966384	3.965592207	0.597983657	0.743953947	0.660509155	0.319692358	1.000193353	2.639547685	2.130896538	2.715057497	2.417274477	2.940930408	6.227381099	4.480678842	5.643902813	8.618032526	5.787696771	0.554666391	0.452684299	0.806781842	0.635529138	0.664803297	2.161180918	2.114505848	1.580985565	5.769437302	2.157855789	5.253849116	6.264212185	3.291725363	4.449007341	4.970837857	1.685512137	1.028348105	0.918854275	0.764444103	0.926279079	4.564168261	3.874382366	2.663700708	4.592496779	4.061448111	2.494302353	5.473601361	1.985547724	3.861585981	2.932381631	2.775477361	3.470182885	3.433479036	3.541495249	2.386397754	1.246573232	1.125500647	1.130707896	1.744866175	0.886840604	0.947375457	2.289685017	1.860768606	2.291764716	0.741201272	5.21496565	3.535829697	4.791958874	4.273971668	4.783172509	2.315981084	4.387465948	3.077986551	0.853891746	0.908768193	2.505561081	2.156106765	1.625863938	2.071523847	2.02272007	1.641354699	1.959538736	1.058464153	1.579117392	1.531490275	3.271299326	3.544490684	3.157338896	2.458529325	1.208322395	2.5630185	4.301936891	2.078509383	3.008522602	3.413144065	3.588832614	2.425277683	2.765297398	3.068539207	2.953660565	3.843607463	3.347690007	2.880064003	2.303600764	1.666300367	1.459163604	1.8733813	1.684927358	1.630026865	0.829523686	1.148916734	1.687461529	2.215574184	1.254310912	1.326864766	1.26269702	2.081204403	1.447953121	1.483018491	1.788127147	1.127808852	1.105196624	1.395463295	0.864006328	0.77573989	0.76925629	0.717620758	0.776550289	0.627662119	0.755281772	1.096599958	1.418561662	1.622834669	1.46422709	0.793585297	1.001944294	1.078883686	1.229335265	1.14257756	0.731182791	1.00559914	0.509584992	0.671215616	0.870277169	1.292155904	0.6040551	0.635454486	0.796387379	0.517387838	0.756981236
