ID	Treatment	Timepoint	Cultivar	Description	Code	Batch	Sequence
16028gf_22	Control	EGF Late stress	N22	Spikelet-Control-EGFEndofstress-N22	GNCLS	16028gf	22
16032gf_18	Control	EGF Late stress	N22	Spikelet-Control-EGFEndofstress-N22	GNCLS	16032gf	18
16034gf_10	Control	EGF Late stress	N22	Spikelet-Control-EGFEndofstress-N22	GNCLS	16034gf	10
16034gf_81	Control	EGF Late stress	N22	Spikelet-Control-EGFEndofstress-N22	GNCLS	16034gf	81
16037gf_55	Control	EGF Late stress	N22	Spikelet-Control-EGFEndofstress-N22	GNCLS	16037gf	55
16028gf_45	Control	EGF 12h Rewatering	N22	Spikelet-Control-EGF12hRewatering-N22	GNC12	16028gf	45
16032gf_35	Control	EGF 12h Rewatering	N22	Spikelet-Control-EGF12hRewatering-N22	GNC12	16032gf	35
16034gf_27	Control	EGF 12h Rewatering	N22	Spikelet-Control-EGF12hRewatering-N22	GNC12	16034gf	27
16037gf_27	Control	EGF 12h Rewatering	N22	Spikelet-Control-EGF12hRewatering-N22	GNC12	16037gf	27
16040gf_17	Control	EGF 12h Rewatering	N22	Spikelet-Control-EGF12hRewatering-N22	GNC12	16040gf	17
16028gf_11	Control	EGF 36h Rewatering	N22	Spikelet-Control-EGF36hRewatering-N22	GNC36	16028gf	11
16032gf_7	Control	EGF 36h Rewatering	N22	Spikelet-Control-EGF36hRewatering-N22	GNC36	16032gf	7
16032gf_52	Control	EGF 36h Rewatering	N22	Spikelet-Control-EGF36hRewatering-N22	GNC36	16032gf	52
16034gf_70	Control	EGF 36h Rewatering	N22	Spikelet-Control-EGF36hRewatering-N22	GNC36	16034gf	70
16039gf_11	Control	EGF 36h Rewatering	N22	Spikelet-Control-EGF36hRewatering-N22	GNC36	16039gf	11
16028gf_34	Control	EGF 60h Rewatering	N22	Spikelet-Control-EGF60hRewatering-N22	GNC60	16028gf	34
16032gf_24	Control	EGF 60h Rewatering	N22	Spikelet-Control-EGF60hRewatering-N22	GNC60	16032gf	24
16034gf_16	Control	EGF 60h Rewatering	N22	Spikelet-Control-EGF60hRewatering-N22	GNC60	16034gf	16
16037gf_16	Control	EGF 60h Rewatering	N22	Spikelet-Control-EGF60hRewatering-N22	GNC60	16037gf	16
16040gf_6	Control	EGF 60h Rewatering	N22	Spikelet-Control-EGF60hRewatering-N22	GNC60	16040gf	6
16028gf_8	Heat & drought	EGF Late stress	N22	Spikelet-Heat&Drought-EGFEndofstress-N22	GNLS	16028gf	8
16028gf_59	Heat & drought	EGF Late stress	N22	Spikelet-Heat&Drought-EGFEndofstress-N22	GNLS	16028gf	59
16032gf_49	Heat & drought	EGF Late stress	N22	Spikelet-Heat&Drought-EGFEndofstress-N22	GNLS	16032gf	49
16034gf_67	Heat & drought	EGF Late stress	N22	Spikelet-Heat&Drought-EGFEndofstress-N22	GNLS	16034gf	67
16039gf_8	Heat & drought	EGF Late stress	N22	Spikelet-Heat&Drought-EGFEndofstress-N22	GNLS	16039gf	8
16028gf_31	Heat & drought	EGF 12h Rewatering	N22	Spikelet-Heat&Drought-EGF12hRewatering-N22	GNR12	16028gf	31
16032gf_21	Heat & drought	EGF 12h Rewatering	N22	Spikelet-Heat&Drought-EGF12hRewatering-N22	GNR12	16032gf	21
