ID	Treatment	Timepoint	Cultivar	Description	Code	Batch	Sequence
15238if_5	Control	FL	N22	Spikelet-Control -Flowering-N22	FNC	15238if	5
15238if_27	Control	FL	N22	Spikelet-Control -Flowering-N22	FNC	15238if	27
15264if_8	Control	FL	N22	Spikelet-Control -Flowering-N22	FNC	15264if	8
15277if_26	Control	FL	N22	Spikelet-Control -Flowering-N22	FNC	15277if	26
15291if_14	Control	FL	N22	Spikelet-Control -Flowering-N22	FNC	15291if	14
15238if_11	Heat & drought	FL Early stress	N22	Spikelet-Heat & Drought-EGF Start of stress-N22	FNES	15238if	11
15261if_20	Heat & drought	FL Early stress	N22	Spikelet-Heat & Drought-EGF Start of stress-N22	FNES	15261if	20
15277if_35	Heat & drought	FL Early stress	N22	Spikelet-Heat & Drought-EGF Start of stress-N22	FNES	15277if	35
15288if_16	Heat & drought	FL Early stress	N22	Spikelet-Heat & Drought-EGF Start of stress-N22	FNES	15288if	16
15300if_8	Heat & drought	FL Early stress	N22	Spikelet-Heat & Drought-EGF Start of stress-N22	FNES	15300if	8
15261if_10	Heat & drought	FL Late stress	N22	Spikelet-Heat & Drought-FL End of stress-N22	FNLS	15261if	10
15273if_23	Heat & drought	FL Late stress	N22	Spikelet-Heat & Drought-FL End of stress-N22	FNLS	15273if	23
15288if_6	Heat & drought	FL Late stress	N22	Spikelet-Heat & Drought-FL End of stress-N22	FNLS	15288if	6
15223if_85	Heat & drought	FL 12h Rewatering	N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	FNR12	15223if	85
15258if_11	Heat & drought	FL 12h Rewatering	N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	FNR12	15258if	11
15267if_24	Heat & drought	FL 12h Rewatering	N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	FNR12	15267if	24
15291if_18	Heat & drought	FL 12h Rewatering	N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	FNR12	15291if	18
15223if_40	Heat & drought	FL 36h Rewatering	N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	FNR36	15223if	40
15243if_6	Heat & drought	FL 36h Rewatering	N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	FNR36	15243if	6
15288if_10	Heat & drought	FL 36h Rewatering	N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	FNR36	15288if	10
15297if_29	Heat & drought	FL 36h Rewatering	N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	FNR36	15297if	29
15267if_28	Heat & drought	FL 60h Rewatering	N22	Spikelet-Heat & Drought-FL 60h Rewatering-N22	FNR60	15267if	28
15285if_9	Heat & drought	FL 60h Rewatering	N22	Spikelet-Heat & Drought-FL 60h Rewatering-N22	FNR60	15285if	9
15294if_24	Heat & drought	FL 60h Rewatering	N22	Spikelet-Heat & Drought-FL 60h Rewatering-N22	FNR60	15294if	24
15223if_82	Control	FL	Dular	Spikelet-Control -Flowering-Dular	FDC	15223if	82
15261if_6	Control	FL	Dular	Spikelet-Control -Flowering-Dular	FDC	15261if	6
15273if_19	Control	FL	Dular	Spikelet-Control -Flowering-Dular	FDC	15273if	19
15285if_29	Control	FL	Dular	Spikelet-Control -Flowering-Dular	FDC	15285if	29
15297if_21	Control	FL	Dular	Spikelet-Control -Flowering-Dular	FDC	15297if	21
15223if_76	Heat & drought	FL Early stress	Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	FDES	15223if	76
15258if_17	Heat & drought	FL Early stress	Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	FDES	15258if	17
15267if_30	Heat & drought	FL Early stress	Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	FDES	15267if	30
15285if_11	Heat & drought	FL Early stress	Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	FDES	15285if	11
15294if_26	Heat & drought	FL Early stress	Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	FDES	15294if	26
15223if_68	Heat & drought	FL Late stress	Dular	Spikelet-Heat & Drought-FL End of stress-Dular	FDLS	15223if	68
15261if_8	Heat & drought	FL Late stress	Dular	Spikelet-Heat & Drought-FL End of stress-Dular	FDLS	15261if	8
15273if_21	Heat & drought	FL Late stress	Dular	Spikelet-Heat & Drought-FL End of stress-Dular	FDLS	15273if	21
15288if_4	Heat & drought	FL Late stress	Dular	Spikelet-Heat & Drought-FL End of stress-Dular	FDLS	15288if	4
