Class	Name	MPIMP-ID	Spikelet_N22 Control EGF_10d_End of stress	Spikelet_N22 Control EGF_10d_End of stress	Spikelet_N22 Control EGF_10d_End of stress	Spikelet_N22 Control EGF_10d_End of stress	Spikelet_N22 Control EGF_10d_End of stress	Spikelet_N22 Control EGF_12h_ Rewatering	Spikelet_N22 Control EGF_12h_ Rewatering	Spikelet_N22 Control EGF_12h_ Rewatering	Spikelet_N22 Control EGF_12h_ Rewatering	Spikelet_N22 Control EGF_12h_ Rewatering	Spikelet_N22 Control EGF_36h_ Rewatering	Spikelet_N22 Control EGF_36h_ Rewatering	Spikelet_N22 Control EGF_36h_ Rewatering	Spikelet_N22 Control EGF_36h_ Rewatering	Spikelet_N22 Control EGF_36h_ Rewatering	Spikelet_N22 Control EGF_60h_ Rewatering	Spikelet_N22 Control EGF_60h_ Rewatering	Spikelet_N22 Control EGF_60h_ Rewatering	Spikelet_N22 Control EGF_60h_ Rewatering	Spikelet_N22 Control EGF_60h_ Rewatering	Spikelet_N22 Heat & drought EGF_10d_End of stress	Spikelet_N22 Heat & drought EGF_10d_End of stress	Spikelet_N22 Heat & drought EGF_10d_End of stress	Spikelet_N22 Heat & drought EGF_10d_End of stress	Spikelet_N22 Heat & drought EGF_10d_End of stress	Spikelet_N22 Heat & drought EGF Rewatering 12h	Spikelet_N22 Heat & drought EGF Rewatering 12h	Spikelet_N22 Heat & drought EGF Rewatering 12h	Spikelet_N22 Heat & drought EGF Rewatering 12h	Spikelet_N22 Heat & drought EGF Rewatering 12h	Spikelet_N22 Heat & drought EGF Rewatering 36h	Spikelet_N22 Heat & drought EGF Rewatering 36h	Spikelet_N22 Heat & drought EGF Rewatering 36h	Spikelet_N22 Heat & drought EGF Rewatering 36h	Spikelet_N22 Heat & drought EGF Rewatering 36h	Spikelet_N22 Heat & drought EGF Rewatering 60h	Spikelet_N22 Heat & drought EGF Rewatering 60h	Spikelet_N22 Heat & drought EGF Rewatering 60h	Spikelet_N22 Heat & drought EGF Rewatering 60h	Spikelet_N22 Heat & drought EGF Rewatering 60h	Spikelet_Dular Control EGF_10d_End of stress	Spikelet_Dular Control EGF_10d_End of stress	Spikelet_Dular Control EGF_10d_End of stress	Spikelet_Dular Control EGF_10d_End of stress	Spikelet_Dular Control EGF_10d_End of stress	Spikelet_Dular Control EGF_12h_ Rewatering	Spikelet_Dular Control EGF_12h_ Rewatering	Spikelet_Dular Control EGF_12h_ Rewatering	Spikelet_Dular Control EGF_12h_ Rewatering	Spikelet_Dular Control EGF_12h_ Rewatering	Spikelet_Dular Control EGF_36h_ Rewatering	Spikelet_Dular Control EGF_36h_ Rewatering	Spikelet_Dular Control EGF_36h_ Rewatering	Spikelet_Dular Control EGF_36h_ Rewatering	Spikelet_Dular Control EGF_36h_ Rewatering	Spikelet_Dular Control EGF_60h_ Rewatering	Spikelet_Dular Control EGF_60h_ Rewatering	Spikelet_Dular Control EGF_60h_ Rewatering	Spikelet_Dular Control EGF_60h_ Rewatering	Spikelet_Dular Control EGF_60h_ Rewatering	Spikelet_Dular Heat & drought EGF_10d_End of stress	Spikelet_Dular Heat & drought EGF_10d_End of stress	Spikelet_Dular Heat & drought EGF_10d_End of stress	Spikelet_Dular Heat & drought EGF_10d_End of stress	Spikelet_Dular Heat & drought EGF_10d_End of stress	Spikelet_Dular Heat & drought EGF Rewatering 12h	Spikelet_Dular Heat & drought EGF Rewatering 12h	Spikelet_Dular Heat & drought EGF Rewatering 12h	Spikelet_Dular Heat & drought EGF Rewatering 12h	Spikelet_Dular Heat & drought EGF Rewatering 12h	Spikelet_Dular Heat & drought EGF Rewatering 36h	Spikelet_Dular Heat & drought EGF Rewatering 36h	Spikelet_Dular Heat & drought EGF Rewatering 36h	Spikelet_Dular Heat & drought EGF Rewatering 36h	Spikelet_Dular Heat & drought EGF Rewatering 36h	Spikelet_Dular Heat & drought EGF Rewatering 60h	Spikelet_Dular Heat & drought EGF Rewatering 60h	Spikelet_Dular Heat & drought EGF Rewatering 60h	Spikelet_Dular Heat & drought EGF Rewatering 60h	Spikelet_Dular Heat & drought EGF Rewatering 60h	Spikelet_Anjali Control EGF_10d_End of stress	Spikelet_Anjali Control EGF_10d_End of stress	Spikelet_Anjali Control EGF_10d_End of stress	Spikelet_Anjali Control EGF_10d_End of stress	Spikelet_Anjali Control EGF_10d_End of stress	Spikelet_Anjali Control EGF_12h_ Rewatering	Spikelet_Anjali Control EGF_12h_ Rewatering	Spikelet_Anjali Control EGF_12h_ Rewatering	Spikelet_Anjali Control EGF_12h_ Rewatering	Spikelet_Anjali Control EGF_12h_ Rewatering	Spikelet_Anjali Control EGF_36h_ Rewatering	Spikelet_Anjali Control EGF_36h_ Rewatering	Spikelet_Anjali Control EGF_36h_ Rewatering	Spikelet_Anjali Control EGF_36h_ Rewatering	Spikelet_Anjali Control EGF_36h_ Rewatering	Spikelet_Anjali Control EGF_60h_ Rewatering	Spikelet_Anjali Control EGF_60h_ Rewatering	Spikelet_Anjali Control EGF_60h_ Rewatering	Spikelet_Anjali Control EGF_60h_ Rewatering	Spikelet_Anjali Control EGF_60h_ Rewatering	Spikelet_Anjali Heat & drought EGF_10d_End of stress	Spikelet_Anjali Heat & drought EGF_10d_End of stress	Spikelet_Anjali Heat & drought EGF_10d_End of stress	Spikelet_Anjali Heat & drought EGF_10d_End of stress	Spikelet_Anjali Heat & drought EGF_10d_End of stress	Spikelet_Anjali Heat & drought EGF Rewatering 12h	Spikelet_Anjali Heat & drought EGF Rewatering 12h	Spikelet_Anjali Heat & drought EGF Rewatering 12h	Spikelet_Anjali Heat & drought EGF Rewatering 12h	Spikelet_Anjali Heat & drought EGF Rewatering 12h	Spikelet_Anjali Heat & drought EGF Rewatering 36h	Spikelet_Anjali Heat & drought EGF Rewatering 36h	Spikelet_Anjali Heat & drought EGF Rewatering 36h	Spikelet_Anjali Heat & drought EGF Rewatering 36h	Spikelet_Anjali Heat & drought EGF Rewatering 36h	Spikelet_Anjali Heat & drought EGF Rewatering 60h	Spikelet_Anjali Heat & drought EGF Rewatering 60h	Spikelet_Anjali Heat & drought EGF Rewatering 60h	Spikelet_Anjali Heat & drought EGF Rewatering 60h	Spikelet_Anjali Heat & drought EGF Rewatering 60h
Acids	Azelaic acid	A181007-101	0.342895593	0.626321545	0.805028035	0.644795877	0.481696328	0.619750885	0.40886538	0.517937781		0.343466958	0.434873267	0.431821212	0.35581268		0.371142511	0.227086283		0.689848972	0.276104403		0.433503561	0.510507674	0.349928253	0.573333875		0.346453916	0.243841487	0.475424166	0.326193597	0.502396755		0.493032021	0.518365722	0.566772204				0.226226731		0.330084873	1.018263537	1.099392709	0.967522641	0.353604592	0.710072444		0.52915728	0.633618326	0.561053563	0.33894464	0.273133658			0.347298012	0.289506212		0.423896917	0.450719457	0.535809695	0.305460567	0.363474375		0.665298042	0.587354378		1.27238066	1.437975364	0.644738396	0.57495304	0.358122033	0.433228512	0.3972827	0.361281459	0.243174645	0.430217853	0.309796494		0.328114199	0.226214091		0.355312419	0.409681411	0.272421219	0.722645869		0.277699987		0.482485835	0.347685915	0.382519757		0.813181544	0.44495153	0.603939827	0.29817734					0.335792607	0.475496366	0.637167841	0.687625407	0.358705511	0.56191586	0.431106583		0.339241797		0.369815781	0.287594886			0.221556545			0.365122616	0.350393953	0.433505428	0.339040671
Acids	Benzoic acid	A128003-101	3.692834129	7.166415251	8.96235228	5.440504437	4.780824384	5.517455766	4.481077791	5.216542136	4.490226631	3.755452512	6.654003271	3.994730096	4.800223991	4.994663082	5.03539323	4.069056901	4.86916032	8.575650936	5.183531458	3.903621929	5.654601202	7.446057026	4.724239312	4.979985968	3.1042613	4.94000814	5.242245803	5.933260203	6.062350053	5.319258205	5.487548752	4.952565695	6.636658143	3.882047795	2.9485681	5.865838223	5.078804566	5.745008617	3.771847143	4.310031726	6.425454274	8.036806994	4.519800929	4.764385255	7.687571322	6.087030608	6.182696223	7.156165178	3.986933655	4.818255753	4.98185281	4.475032933	5.975979988	5.937506829	5.606836271	6.143678037	5.109789815	5.884580536	6.938945726	4.147355281	5.206747154	5.120847492	7.438734884	6.626322618	4.877395186	6.099853282	8.481983482	6.33857712	7.886074646	5.817049824	8.328008755	6.143401379	5.274468003	4.007406167	4.933886134	6.536787914	5.847547115	8.226996358	7.136659797	5.858760478	6.523061431	5.761353937	3.512827854	5.094246369	3.30907359	5.12282588	4.483009125	7.937320347	5.481198658	4.849915913	7.195464722	6.63314999	8.010021625	3.765657317	4.155065404	8.458408031	4.828847065	3.226715884	3.594549798	4.661380048	6.163479153	5.122666438	3.544474315	6.402449145	6.887741166	5.765454531	7.550879339	5.799236518	5.188434736	4.329282538	4.509431855	5.894473336	6.751600159	6.441405346	6.035340616	5.841706513	5.714577119	5.677382761	4.464327618	4.338697142
Acids	Benzoic acid, 4-hydroxy-	A164003-101		0.943928811	0.958955435	0.703425676		0.704049819					0.836451807				0.733232233	0.720479497		3.054789893	1.146331761	0.479866175	0.787408044			0.968277663		0.544323669		1.549501823	1.234107717	1.022184907	0.43026008	2.546115246	1.894959446	1.336848024	0.881962949	1.083830271	0.615082515	0.781088467		1.242573175	2.965935783	2.625936659	7.839477837	1.91941444	2.735670769	1.029643649	4.542402236	2.962114893	2.774928519	1.318195293	1.32989186	1.267035172	2.955173721	2.619186236	2.291081658	2.661564357	4.431466264	3.593258986	4.778223373	2.75212946	8.366905551	7.450548708	4.787050772	7.657307313	1.475843642	11.80181612	11.50043406	12.21760551	8.662164166	4.146532516	7.748814821	7.724183455	8.213061222	5.60391822	7.173089879	6.541820814	7.763870509	5.644848479	12.33603305	4.531765462	0.458680349			0.825890151		0.484552582		1.439827691	0.834662147	0.810891238	0.52177421	3.0821615	1.11676692	1.544490337	0.730608747	1.349984595	0.775384648	0.528638436		1.250843487	1.54889153	1.144365269		0.653828549	1.475635113	0.715384618				0.964250932	0.742334107	0.632667441	2.0184571	1.17801358	0.793477991	0.416293314	2.038031748	1.668769788	2.033743414	0.811140189
Acids	Boric acid	A098003-101	2.991606414	5.672937112		3.177257785		4.296514393	5.05350987	2.280071538		6.658546052	6.333440347	3.159527622			4.00954529	3.439431188	3.211953476				4.377562982	5.695033404				3.309325375	3.204442241				3.343442511	8.143176757	8.370302159			4.122691946	5.460086254	2.491675096	2.84959651		3.966756468	6.65016967				3.64861108	5.639992574	4.886036414		3.237743947	3.412513332	2.533843917				3.670913077	5.830086483	17.04429637		3.657925004	2.732556326	1.669264744				2.957035156	4.171770223	3.442502221			7.012259328	5.074362062	1.953560053			5.402875049	3.503792391				4.280966346	5.682653445	1.906980076			4.225435651	3.692765287	3.397174689			5.442740514	13.13313228	5.260819168			6.953700392	5.808152017	1.767893062			2.275844116	4.888991735		4.219503905		5.7773206	5.88668715	2.38626553			3.175805546	3.544153471				3.817267342	5.451626999	5.327096653		
Acids	Citric acid	A182004-101	1.542273003		0.467398969	1.15987787		1.907095212	0.605103808	0.858597289			2.766580248							0.467887198	0.478311696	0.355277065	0.385073955		0.444012927		0.404074994	0.418217098		0.397965004	0.67699732			0.812482699	0.586334123			0.598331832		0.548006116	0.341391724		0.692165704		0.519793588				0.933094008		0.356250591	0.417676809							0.329166774				0.665333141		0.721197975	1.329097983			1.49169073					0.255631786		0.512103804				0.526575181								0.595228376						0.536600564					0.68567195	0.487941928		0.521209803	0.448972708				0.462030189			0.470636887	0.464541207	0.475610545		0.543390872		0.47488057		0.454807999	0.47910102	0.38670062		
Acids	Fumaric acid	A137001-101	1.857282097	2.895178961	2.240564586	1.55929648	1.563458659	1.894519413	1.297870601	1.212166239	1.093661864	0.897917141	2.324954445	1.297547038	1.955026675	1.892051655	2.707514759	1.99317837	1.56160061	3.028654337	1.855790756	1.532276528	7.219265264	4.520724312	3.477100363	3.454751337	3.183502218	3.006996015	2.422952528	4.096700327	5.00283417	4.213713506	3.690915881	5.283203673	5.626343095	3.678453064	3.544747314	4.045699768	1.527747253	2.647011897	1.575117369	3.842382527	3.539825524	5.576032308	3.575786655	3.480660022	2.687051301	1.992837813	6.119016019	3.371414014	3.633578464	2.069837026	2.717754624	3.266764359	3.198661718	3.561004534	3.005160497	3.81331038	5.042118259	5.077201989	3.414191082	2.934230195	4.81953426	4.009381527	3.21180589	2.76228389	1.576630944	3.894751327	4.579318032	5.011084585	3.8891712	2.107098688	2.542625927	5.123948718	3.821276915	3.136471732	4.560370053	3.354973106	2.918204378	3.153461629	4.268102553	2.701873969	3.293923726	2.16279021	2.012795598	2.971306293	2.420175285	2.405906286	2.471161817	3.835245585	2.437638308	2.121515993	3.001469139	3.039358583	3.320420702	2.921785753	1.84836212	3.151032798	2.398283122	2.702233073	2.975880413	3.22950934	6.739078834	4.918339211	4.420081328	3.132890417	4.557026516	3.780333865	4.633260402	3.982158743	3.917220821	3.457165235	2.303907815	3.211183429	3.619261144	2.303543388	2.371681067	1.697385494	2.821276637	2.553844151	2.257890171	1.557176645
Acids	Gluconic acid, 2-oxo-	A187003-101																																																									8.860846831																												14.17860666												22.41282024							13.8423497					12.38683644											
Acids	Glutaric acid, 2-oxo-	A158004-101	0.722609688	0.99587576	0.693364095	0.890139271	0.772414796	0.679243225	0.435193942	0.742290357	0.728095345	0.336976675	0.595751511	0.39829157	0.648988424	0.873992687	0.467389787	0.607933843	0.62762411	0.557161589	0.6123854	0.490802648	0.659056408	0.620448741	0.589685216	0.394479333	0.427028684	0.621124662	0.660006148	0.590286439	0.707256987	0.622491146	0.55861073	0.447525846	0.787663619	0.489907246	0.354034067	0.806023172	0.459270013	0.520999974	0.506291457	0.617895691	1.152226766	2.016035603	0.576705608	1.157151642	0.962975151	0.731152591	1.037216088	1.392426414	1.374942245	0.636226848	0.52182455	0.641601446	0.583731046	0.588353279	0.617603411	0.437993533	0.49821981	0.778608921	0.364097515	0.712107313	0.591581626	0.505414325	0.715992812	0.63140657	0.734384043	0.347430803	0.400418486	0.41771289	0.354576869	0.428336452	0.407134296	0.275178943	0.412652534	0.517156207	0.319992872	0.470946139	0.472038951	0.284851138	0.303674854	0.332619931	0.60448821	0.682402345	0.661728964	0.62242475	0.629576386	0.795335651	0.682073336	1.136243216	0.719328489	0.568554226	0.577297798	0.609340676	0.821162827	0.491030664	0.521240489	0.795957023	0.531018058	0.668532455	0.773258011	0.626030422	0.577176264	0.541735995	0.542397751	0.423965332	0.365847363	0.415009025	0.378553779	0.421831469	0.482535908	0.297557786	0.325277154	0.421323368	0.394396298	0.347385928	0.351199688	0.470833001	0.246106721	0.262175704	0.290180058	0.287085043
Acids	Glycolic acid	A106002-101	3.457966164	5.738386226	5.969700955	4.165225273	3.713101633	3.672970789	3.911525535	3.1993275	3.256234302	2.566358609	3.629460874	2.920710962	2.536594595	3.776907679	3.761011267	3.069492611	3.249359412	5.583227274	3.695837645	2.648818899	4.143272371	3.915653997	3.176512168	5.176509508	4.100106639	2.748527673	2.49294697	3.934207315	4.494322902	3.012831223	2.334169511	3.665541964	4.250579689	3.074076123	3.359940929	3.761219938	2.808971172	2.978023234	2.532523217	3.822118477	5.02189383	5.516139772	4.699055023	3.693523022	3.847257788	1.832209755	4.334368828	4.425651287	2.526553058	2.886978976	2.716998833	2.582057534	4.69533812	3.876350936	2.517655585	2.228357877	4.345240358	3.710688389	3.34923341	3.194776164	4.373143641	3.134777116	5.903164739	4.520960899	3.210916828	3.900544637	5.872279798	5.457200116	5.11561536	3.175760888	2.797688179	3.705188604	3.128146985	2.876707854	4.707034798	3.963778855	3.330657732	4.359542944	5.424115455	3.292697561	3.320154851	3.178510749	3.559169075	4.119147542	3.809937096	2.643554419	2.315016376	3.931512728	3.699413886	2.4200102	2.321278502	3.467407317	3.333004731	3.932380812	2.859444631	2.950560773	2.693810642	2.764636077	2.53396181	3.53471505	3.707166188	3.168687553	2.91771327	3.849356583	3.748925011	2.729821478	4.365974426	3.209494383	2.721602144	3.730305791	2.998930653	3.080407499	4.106183158	2.859723948	2.54219673	2.752682966	3.958733982	3.553618481	3.035555801	3.316899393
Acids	Glyoxylic acid	A100001-101	1.50252785	1.328090677	1.523149235	1.588702651	1.476344053	1.457634513	1.394569319	1.65160235	1.626440875	1.144580223	1.40460864	1.573569159	1.209901445	1.445650823	1.443036865	1.748430909	1.77683844	1.658550886	1.294948874	1.311186541	1.337136511	1.042781675	1.263501747	0.971430176	0.996606667	1.607739174	1.93978338	1.511569668	1.442347971	1.394585545	1.41585871	1.406435581	2.314445749	1.331383367	1.811951999	1.473258092	1.144221144	1.436906434	1.155401256	1.455181681	2.289554325	3.59604495	1.410545994	1.893189905	1.86323114	2.112724427	2.254756027	2.518303231	1.509916578	2.286378739	1.823306272	2.116144805	1.757403728	1.625401843	1.970302516	1.516854106	1.709259175	2.215194558	1.38537319	1.68928895	2.028722469	1.526987961	2.1512029	1.632417041	1.742532606	1.803168417	1.931950018	1.837443103	1.781918472	1.567951763	1.799607469	1.357436278	1.467130015	1.596648475	2.152581502	1.489704365	1.614850356	1.296738008	1.064229133	1.283900696	1.299615615	1.026728812	1.277594051	1.053904742	1.403764993	1.997024173	2.218741811	1.554329634	1.305277507	0.688830864	1.663153939	1.583307198	1.70876649	1.124882732	1.502267095	1.105148886	0.873452112	1.130819671	1.208814387	1.372613814	1.302148172	1.210790708	1.101529365	1.317856667	0.865368362	1.107491473	1.217951345	1.596855985	1.171181554	0.994051061	1.330785063	1.564210384	1.448151224	0.940083882	1.220615551	1.635808151	1.282072816	1.22975675	1.331676276	1.058189324
