Class	Name	MPIMP-ID	Spikelet-Control -EGF End of stress-N22	Spikelet-Control -EGF End of stress-N22	Spikelet-Control -EGF End of stress-N22	Spikelet-Control -EGF End of stress-N22	Spikelet-Control -EGF End of stress-N22	Spikelet-Control -EGF 12h Rewatering-N22	Spikelet-Control -EGF 12h Rewatering-N22	Spikelet-Control -EGF 12h Rewatering-N22	Spikelet-Control -EGF 12h Rewatering-N22	Spikelet-Control -EGF 12h Rewatering-N22	Spikelet-Control -EGF 36h Rewatering-N22	Spikelet-Control -EGF 36h Rewatering-N22	Spikelet-Control -EGF 36h Rewatering-N22	Spikelet-Control -EGF 36h Rewatering-N22	Spikelet-Control -EGF 36h Rewatering-N22	Spikelet-Control -EGF 60h Rewatering-N22	Spikelet-Control -EGF 60h Rewatering-N22	Spikelet-Control -EGF 60h Rewatering-N22	Spikelet-Control -EGF 60h Rewatering-N22	Spikelet-Control -EGF 60h Rewatering-N22	Spikelet-Heat & Drought-EGF End of stress-N22	Spikelet-Heat & Drought-EGF End of stress-N22	Spikelet-Heat & Drought-EGF End of stress-N22	Spikelet-Heat & Drought-EGF End of stress-N22	Spikelet-Heat & Drought-EGF End of stress-N22	Spikelet-Heat & Drought-EGF 12h Rewatering-N22	Spikelet-Heat & Drought-EGF 12h Rewatering-N22	Spikelet-Heat & Drought-EGF 12h Rewatering-N22	Spikelet-Heat & Drought-EGF 12h Rewatering-N22	Spikelet-Heat & Drought-EGF 12h Rewatering-N22	Spikelet-Heat & Drought-EGF 36h Rewatering-N22	Spikelet-Heat & Drought-EGF 36h Rewatering-N22	Spikelet-Heat & Drought-EGF 36h Rewatering-N22	Spikelet-Heat & Drought-EGF 36h Rewatering-N22	Spikelet-Heat & Drought-EGF 36h Rewatering-N22	Spikelet-Heat & Drought-EGF 60h Rewatering-N22	Spikelet-Heat & Drought-EGF 60h Rewatering-N22	Spikelet-Heat & Drought-EGF 60h Rewatering-N22	Spikelet-Heat & Drought-EGF 60h Rewatering-N22	Spikelet-Heat & Drought-EGF 60h Rewatering-N22	Spikelet-Control -EGF End of stress-Dular	Spikelet-Control -EGF End of stress-Dular	Spikelet-Control -EGF End of stress-Dular	Spikelet-Control -EGF End of stress-Dular	Spikelet-Control -EGF 12h Rewatering-Dular	Spikelet-Control -EGF 12h Rewatering-Dular	Spikelet-Control -EGF 12h Rewatering-Dular	Spikelet-Control -EGF 12h Rewatering-Dular	Spikelet-Control -EGF 12h Rewatering-Dular	Spikelet-Control -EGF 36h Rewatering-Dular	Spikelet-Control -EGF 36h Rewatering-Dular	Spikelet-Control -EGF 36h Rewatering-Dular	Spikelet-Control -EGF 36h Rewatering-Dular	Spikelet-Control -EGF 36h Rewatering-Dular	Spikelet-Control -EGF 60h Rewatering-Dular	Spikelet-Control -EGF 60h Rewatering-Dular	Spikelet-Control -EGF 60h Rewatering-Dular	Spikelet-Heat & Drought-EGF End of stress-Dular	Spikelet-Heat & Drought-EGF End of stress-Dular	Spikelet-Heat & Drought-EGF End of stress-Dular	Spikelet-Heat & Drought-EGF End of stress-Dular	Spikelet-Heat & Drought-EGF End of stress-Dular	Spikelet-Heat & Drought-EGF 12h Rewatering-Dular	Spikelet-Heat & Drought-EGF 12h Rewatering-Dular	Spikelet-Heat & Drought-EGF 12h Rewatering-Dular	Spikelet-Heat & Drought-EGF 12h Rewatering-Dular	Spikelet-Heat & Drought-EGF 12h Rewatering-Dular	Spikelet-Heat & Drought-EGF 36h Rewatering-Dular	Spikelet-Heat & Drought-EGF 36h Rewatering-Dular	Spikelet-Heat & Drought-EGF 36h Rewatering-Dular	Spikelet-Heat & Drought-EGF 36h Rewatering-Dular	Spikelet-Heat & Drought-EGF 36h Rewatering-Dular	Spikelet-Heat & Drought-EGF 60h Rewatering-Dular	Spikelet-Heat & Drought-EGF 60h Rewatering-Dular	Spikelet-Heat & Drought-EGF 60h Rewatering-Dular	Spikelet-Heat & Drought-EGF 60h Rewatering-Dular	Spikelet-Heat & Drought-EGF 60h Rewatering-Dular	Spikelet-Control -EGF End of stress-Anjali	Spikelet-Control -EGF End of stress-Anjali	Spikelet-Control -EGF End of stress-Anjali	Spikelet-Control -EGF End of stress-Anjali	Spikelet-Control -EGF 12h Rewatering-Anjali	Spikelet-Control -EGF 12h Rewatering-Anjali	Spikelet-Control -EGF 12h Rewatering-Anjali	Spikelet-Control -EGF 12h Rewatering-Anjali	Spikelet-Control -EGF 12h Rewatering-Anjali	Spikelet-Control -EGF 36h Rewatering-Anjali	Spikelet-Control -EGF 36h Rewatering-Anjali	Spikelet-Control -EGF 36h Rewatering-Anjali	Spikelet-Control -EGF 36h Rewatering-Anjali	Spikelet-Control -EGF 60h Rewatering-Anjali	Spikelet-Control -EGF 60h Rewatering-Anjali	Spikelet-Control -EGF 60h Rewatering-Anjali	Spikelet-Heat & Drought-EGF End of stress-Anjali	Spikelet-Heat & Drought-EGF End of stress-Anjali	Spikelet-Heat & Drought-EGF End of stress-Anjali	Spikelet-Heat & Drought-EGF End of stress-Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali
Acids	4-Hydroxybenzaldehyde	A150014-101																																																									9.098452444																																																							
Acids	Aconitic acid, cis-	A176002-101								10.90418324																									6.980769592																																	5.109623984												6.032796755				5.144274507				16.94103677							7.068151444																	8.662423771		
Acids	Azelaic acid	A181007-101	0.371588362	0.277633652	0.587805181	0.38366188	0.541771393		0.299127104	1.058766951	0.245893892	0.606222695	0.545305661	0.412607632	0.181858077	0.163411136				0.221920657		0.304848392	0.570370141	0.473887608	0.523968965	1.040753935	0.29494919		0.319318964	0.834370912		1.748116463		0.261282007	0.521526212		0.156715835					0.742362913		0.662762991	0.424404324	0.825519606			0.509799879	0.441304181			0.221872108	0.343272901			0.363015462	0.312524032		0.756757656	0.300449742	1.015116284	0.385660814	0.409869182	0.62593976	0.799593413	0.503055979	0.173046074	0.42969852	0.555282523	0.489116338	0.540739304		0.854446448			0.17883187			0.692091646		0.738100069		0.205806575	0.193324325	1.150586896				0.203910454					0.648478084	0.360111756	2.124994551	0.167121298	0.649244361		0.290886563	0.644217084	0.200828711				0.265005944			0.423895388				
Acids	Benzoic acid, 4-hydroxy-	A164003-101											1.240630345										0.905319527		0.517088927	0.960157933	1.368963512															0.93960596	1.801850037	2.632931548		1.979945564			0.759390206	1.520043197			1.483190504	2.089925519	0.895565067		2.453450654	1.784166593	2.651469987	1.767451898	0.978299131	2.027148567	0.92265712	0.924132155	3.796473557	1.962114338	13.18672767	1.86090853	1.533411193	2.877823711	2.423902885	3.165345188		2.749951026	2.077742528	0.921714252	1.070330429			1.516080541																														1.952094795				
Acids	Citric acid	A182004-101	7.09428932	10.41722432	7.739202366	8.081092469	9.641693823	9.473591729	10.06420461	8.411670265	8.199050562	7.39383132	6.285296657	6.320775257	6.942533398	7.591877624	6.573239667	3.714799446	8.729536568	4.040221673	6.132795099	6.052796855	7.166482778	8.476159166	9.661965718	6.006007382	6.826000219	9.643266642	8.496023388	5.602022267	6.577347647	4.057926223	7.271500074	9.369729891	4.979825108	6.66316304	7.313035785	8.056704442	7.085679497	7.041491838	8.908262941	5.244488652	4.48444655	7.577396084	9.913646217	5.630700931	6.493306401	9.271194736	7.988830828	5.227837714	6.825829882	5.404928379	8.204620327	5.856944487	5.97400359	4.385922586	3.779048095	3.367343615	4.388048166	5.344247414	8.843152175	4.831982248	6.144242371	6.655275814	10.00645661	6.427188339	5.513183505	6.864481652	7.227550645	4.889970717	4.874890056	7.85699162	6.143796973	6.103290304	4.767202121	4.555424961	5.858148343	4.582468842	3.880953089	6.047749252	9.542321771	5.829968557	7.280333132	6.951558147	9.448177458	6.321580367	7.469805158	10.72789999	5.377512136	5.81150739	6.35182532	6.800516835	7.77964365	6.291640247	4.615106013	4.657761974	8.65583008	7.398042146	6.737873938	9.368041192	9.742666494	6.844181018	7.42111573	8.759162172	10.68387232	7.565348998	11.09390906	6.18080822	14.95846477	5.994356766	9.220762077	5.381920998	6.496502559	11.5020254
Acids	Glutaric acid, 2-oxo-	A158004-101	0.535875792	0.292083087	0.527110875	0.651219981	0.600241066	0.728225398	0.274627548	1.306185609	0.193946979	1.286902343	0.680094379	0.37300938	0.483337956	0.199624205	0.079157168	0.122801839	0.259224228	0.483648664	0.067308004	0.501395373	0.830925549	0.684349384	0.602122505	0.759424861	0.45679629	0.452072807	0.302204731	0.804304622	0.201024048	0.535205266	0.759546951	0.345866875	0.831090456	0.174148615	0.259782577	1.504482421	0.603701245	1.046364783	0.324246998	1.348615116	0.506853183	0.692196974	0.292826712	0.7730788	0.264598301	0.248172335	0.262765669	0.579267164	0.217739799	0.188354589	0.232727349	0.831703365	0.173058641	0.417782965	0.285365422	0.546459098	0.992857734	0.53147743	0.273568251	0.637432017	0.295846596	0.293248511	1.008444525	0.335676896	0.817923769	0.11507921	0.607851249	0.57924912	0.475035573	0.767378812	0.203691351	0.735277394	0.54957169	0.254384091	0.146915709	0.133630161	0.356844333	0.84040782	0.27993103	0.699109009	0.198662616	0.721959215	0.289241185	1.278023479	0.255830121	0.958718164	0.201977377	0.564113236	0.134710412	0.385275649	0.914387571	0.328971401	1.479034292	0.386887476	0.649933543	0.289288766	0.792340713	0.269744762	0.178499429	0.614851769	0.338836366	0.599595918	0.309244306	0.266076604	0.237779254	0.211763639	0.503303558	0.789687703	0.180137735	0.576784247	0.159259513	1.597618353
Acids	Glycolic acid	A106002-101																												10.40771659																																																																																				
Acids	Isocitric acid	A182003-101	7.800819283	8.443190384	8.19529967	7.637823474	8.829608505	7.686993538	7.861137197	8.845272104	6.904150153	8.346790559	7.255968763	7.329821126	6.143418982	6.688410838	7.955668069	4.200158278	7.111809151	4.699285208	5.647895435	6.686131715	7.513615032	10.33064981	7.778650569	5.80895715	6.382854455	12.05966689	7.038152244	6.269868389	5.874923943	5.273671236	8.490315241	7.3809764	5.42189554	5.648982283	6.308264601	11.07960669	7.758347366	7.581408719	7.949880401	4.934967554	4.991331959	8.575508338	8.117413358	6.371598766	7.998035886	7.714746145	6.314104567	5.707309538	6.577631684	5.531484627	7.023270467	6.250934238	5.574901883	5.980348422	4.38741941	3.920412783	6.231345287	5.911844785	7.219590136	6.545622616	5.538192518	6.064149986	12.37151862	7.913939222	6.314229251	5.817993583	7.824898658	6.131159661	6.928972309	8.336252947	5.287508458	8.037131081	6.504804998	4.759885002	5.373610942	4.522948706	4.997801598	6.469543074	7.72928938	6.365243335	7.26788836	6.689462535	7.45598223	6.871981923	6.435941349	10.49681455	5.926552818	5.581027392	5.465198275	6.714777842	9.666345852	5.651142422	4.305686161	5.198266847	10.07959156	6.457816709	7.633671891	10.69611987	7.984676976	7.662827465	6.159879022	8.695219393	12.21668722	6.710143292	8.66301488	6.1023368	18.49300634	6.537470224	7.559302447	6.369486123	5.792835391	13.99920385
Acids	Itaconic acid	A135004-101																																																																																																																
Acids	Malic acid	A149001-101	5.269899376	7.118000928	9.513408657	7.927552449	10.90170681	6.234721978	7.94865375	10.20476495	8.800436235	9.253965858	8.040845374	8.099518363	7.973164098	8.052119792	7.557136284	5.253981367	7.814591099	5.174893807	7.673342655	6.458558808	7.054011321	8.292546472	7.425268181	6.076425101	6.76743112	8.518266722	7.450770246	6.63223805	7.105097477	5.378534988	7.756784222	7.881748362	6.359267601	7.470769823	8.453981306	9.092562787	6.727545996	6.349924023	11.49650626	5.3645483	5.56627598	6.007866273	8.196784447	7.080264796	5.613235688	6.593299409	7.407850721	7.334896826	7.666328833	6.058981055	9.003878833	7.832879919	8.29774745	5.775091014	5.261512764	7.258068974	6.853883901	5.19689467	6.404737594	6.375558688	6.632573184	8.369080221	10.27851253	8.535129287	6.502189825	8.402665493	9.832746964	6.479800547	5.413833661	7.174990578	8.158361663	8.218617122	6.384103054	5.460891346	8.590676657	5.854995252	6.053061105	5.77710625	6.797591981	8.380847844	8.658619523	5.585113244	7.728959589	7.541064732	7.317637053	14.78307898	5.506306611	5.702797704	7.291922209	10.05388946	8.407760578	7.568438098	5.111926266	5.337849827	7.818603691	7.813761884	8.404361346	11.99357355	8.287080828	6.846861899	8.348239884	11.31816582	6.684537219	5.725420731	9.429746197	7.723526869	19.09734534	6.973225408	5.923257611	5.566760753	6.209518948	15.00188125
