Class	Name	MPIMP-ID	Spikelet-Control-EGFEndofstress-N22	Spikelet-Control-EGFEndofstress-N22	Spikelet-Control-EGFEndofstress-N22	Spikelet-Control-EGFEndofstress-N22	Spikelet-Control-EGFEndofstress-N22	Spikelet-Control-EGF12hRewatering-N22	Spikelet-Control-EGF12hRewatering-N22	Spikelet-Control-EGF12hRewatering-N22	Spikelet-Control-EGF12hRewatering-N22	Spikelet-Control-EGF12hRewatering-N22	Spikelet-Control-EGF36hRewatering-N22	Spikelet-Control-EGF36hRewatering-N22	Spikelet-Control-EGF36hRewatering-N22	Spikelet-Control-EGF36hRewatering-N22	Spikelet-Control-EGF36hRewatering-N22	Spikelet-Control-EGF60hRewatering-N22	Spikelet-Control-EGF60hRewatering-N22	Spikelet-Control-EGF60hRewatering-N22	Spikelet-Control-EGF60hRewatering-N22	Spikelet-Control-EGF60hRewatering-N22	Spikelet-Heat&Drought-EGFEndofstress-N22	Spikelet-Heat&Drought-EGFEndofstress-N22	Spikelet-Heat&Drought-EGFEndofstress-N22	Spikelet-Heat&Drought-EGFEndofstress-N22	Spikelet-Heat&Drought-EGFEndofstress-N22	Spikelet-Heat&Drought-EGF12hRewatering-N22	Spikelet-Heat&Drought-EGF12hRewatering-N22	Spikelet-Heat&Drought-EGF12hRewatering-N22	Spikelet-Heat&Drought-EGF12hRewatering-N22	Spikelet-Heat&Drought-EGF12hRewatering-N22	Spikelet-Heat&Drought-EGF36hRewatering-N22	Spikelet-Heat&Drought-EGF36hRewatering-N22	Spikelet-Heat&Drought-EGF36hRewatering-N22	Spikelet-Heat&Drought-EGF36hRewatering-N22	Spikelet-Heat&Drought-EGF36hRewatering-N22	Spikelet-Heat&Drought-EGF60hRewatering-N22	Spikelet-Heat&Drought-EGF60hRewatering-N22	Spikelet-Heat&Drought-EGF60hRewatering-N22	Spikelet-Heat&Drought-EGF60hRewatering-N22	Spikelet-Heat&Drought-EGF60hRewatering-N22	Spikelet-Control-EGFEndofstress-Dular	Spikelet-Control-EGFEndofstress-Dular	Spikelet-Control-EGFEndofstress-Dular	Spikelet-Control-EGFEndofstress-Dular	Spikelet-Control-EGFEndofstress-Dular	Spikelet-Control-EGF12hRewatering-Dular	Spikelet-Control-EGF12hRewatering-Dular	Spikelet-Control-EGF12hRewatering-Dular	Spikelet-Control-EGF12hRewatering-Dular	Spikelet-Control-EGF12hRewatering-Dular	Spikelet-Control-EGF36hRewatering-Dular	Spikelet-Control-EGF36hRewatering-Dular	Spikelet-Control-EGF36hRewatering-Dular	Spikelet-Control-EGF36hRewatering-Dular	Spikelet-Control-EGF36hRewatering-Dular	Spikelet-Control-EGF60hRewatering-Dular	Spikelet-Control-EGF60hRewatering-Dular	Spikelet-Control-EGF60hRewatering-Dular	Spikelet-Control-EGF60hRewatering-Dular	Spikelet-Control-EGF60hRewatering-Dular	Spikelet-Heat&Drought-EGFEndofstress-Dular	Spikelet-Heat&Drought-EGFEndofstress-Dular	Spikelet-Heat&Drought-EGFEndofstress-Dular	Spikelet-Heat&Drought-EGFEndofstress-Dular	Spikelet-Heat&Drought-EGFEndofstress-Dular	Spikelet-Heat&Drought-EGF12hRewatering-Dular	Spikelet-Heat&Drought-EGF12hRewatering-Dular	Spikelet-Heat&Drought-EGF12hRewatering-Dular	Spikelet-Heat&Drought-EGF12hRewatering-Dular	Spikelet-Heat&Drought-EGF12hRewatering-Dular	Spikelet-Heat&Drought-EGF36hRewatering-Dular	Spikelet-Heat&Drought-EGF36hRewatering-Dular	Spikelet-Heat&Drought-EGF36hRewatering-Dular	Spikelet-Heat&Drought-EGF36hRewatering-Dular	Spikelet-Heat&Drought-EGF36hRewatering-Dular	Spikelet-Heat&Drought-EGF60hRewatering-Dular	Spikelet-Heat&Drought-EGF60hRewatering-Dular	Spikelet-Heat&Drought-EGF60hRewatering-Dular	Spikelet-Heat&Drought-EGF60hRewatering-Dular	Spikelet-Heat&Drought-EGF60hRewatering-Dular	Spikelet-Control-EGFEndofstress-Anjali	Spikelet-Control-EGFEndofstress-Anjali	Spikelet-Control-EGFEndofstress-Anjali	Spikelet-Control-EGFEndofstress-Anjali	Spikelet-Control-EGFEndofstress-Anjali	Spikelet-Control-EGF12hRewatering-Anjali	Spikelet-Control-EGF12hRewatering-Anjali	Spikelet-Control-EGF12hRewatering-Anjali	Spikelet-Control-EGF12hRewatering-Anjali	Spikelet-Control-EGF12hRewatering-Anjali	Spikelet-Control-EGF36hRewatering-Anjali	Spikelet-Control-EGF36hRewatering-Anjali	Spikelet-Control-EGF36hRewatering-Anjali	Spikelet-Control-EGF36hRewatering-Anjali	Spikelet-Control-EGF36hRewatering-Anjali	Spikelet-Control-EGF60hRewatering-Anjali	Spikelet-Control-EGF60hRewatering-Anjali	Spikelet-Control-EGF60hRewatering-Anjali	Spikelet-Control-EGF60hRewatering-Anjali	Spikelet-Control-EGF60hRewatering-Anjali	Spikelet-Heat&Drought-EGFEndofstress-Anjali	Spikelet-Heat&Drought-EGFEndofstress-Anjali	Spikelet-Heat&Drought-EGFEndofstress-Anjali	Spikelet-Heat&Drought-EGFEndofstress-Anjali	Spikelet-Heat&Drought-EGFEndofstress-Anjali	Spikelet-Heat&Drought-EGF12hRewatering-Anjali	Spikelet-Heat&Drought-EGF12hRewatering-Anjali	Spikelet-Heat&Drought-EGF12hRewatering-Anjali	Spikelet-Heat&Drought-EGF12hRewatering-Anjali	Spikelet-Heat&Drought-EGF12hRewatering-Anjali	Spikelet-Heat&Drought-EGF36hRewatering-Anjali	Spikelet-Heat&Drought-EGF36hRewatering-Anjali	Spikelet-Heat&Drought-EGF36hRewatering-Anjali	Spikelet-Heat&Drought-EGF36hRewatering-Anjali	Spikelet-Heat&Drought-EGF36hRewatering-Anjali	Spikelet-Heat&Drought-EGF60hRewatering-Anjali	Spikelet-Heat&Drought-EGF60hRewatering-Anjali	Spikelet-Heat&Drought-EGF60hRewatering-Anjali	Spikelet-Heat&Drought-EGF60hRewatering-Anjali	Spikelet-Heat&Drought-EGF60hRewatering-Anjali
Acids	4-Hydroxybenzaldehyde	A150014-101		0.514153194	0.566686624	0.664510268	0.522562366	0.579891185			0.579367777	2.599118731	0.645796669	0.666395233	0.520213914	0.712541713	0.795430417	0.739644645	0.77192205	0.535158895	0.542952905	5.2364532	0.54617554	0.683186712		0.733856211	0.747804429	0.713014531	0.496991705	0.482121443	0.330978947	0.857364495	0.727776822				2.461338104	0.452542839	0.494013235	0.531809929	0.623389625	0.758035123	7.899296918	7.385827763	4.219528819	3.732436539	0.846304266	3.99593379	3.073395481	6.790935288	3.39368583	3.776995709	6.239021319	5.920848204	8.455461899	4.466340097	8.333645719	3.45956897	3.373724757	2.723583883	4.104775006	0.779610368	2.99178952	3.30386341	3.259212536	6.897983273	5.153609713	2.653285458	3.178556897	3.326454485	3.074332851	0.632906012	5.395742098	3.751118621	3.033578265	3.032887465	3.597690249	3.321521273	5.490978274	2.891428781	3.47437886	1.223635411	0.613558324		0.640867852	0.72185638	0.79025513	0.337804192	0.703229405	0.656135224	0.618616103	0.583170426	0.713782129		0.385617518		1.253351394	0.545504512	0.850794597	0.547629359	0.70594908	1.010863018	0.795913069		0.57767952		0.568374899	0.563778206	0.669433581		0.69983824	0.66215204	0.574457016	0.651643209	0.454348405	0.451198129	0.610317356	0.677385282	0.577377155		0.511280637	0.825178145
Acids	Aconitic acid, cis-	A176002-101	2.98606256	4.071834434	3.68283287	2.68598974	3.555745937	3.539201466	3.471619896	3.330084339	3.437517802	1.161692064	2.819362972	4.214848303	3.743717423	2.108719177	2.423806404	2.933184673	3.713898207	3.685024881	2.654566738	5.123239531	5.041218274	2.885622395	4.574181016	2.358697036	2.135581561	3.062356932	4.403973542	4.019315691	3.413100169	3.70367026	1.970124432	3.774243504	3.267131448	2.839243623	1.649365038	2.801277306	5.339131394	2.001524069	1.455006294	0.839666704	4.000720164	4.095040906	3.766681183	3.633477991	1.68923371	3.35650383	2.162970163	2.994338931	1.059704922	1.816748665	3.485216837	3.383986152	3.427076143	3.196660921	3.164654647	1.813905835	2.578624113	2.323584372	3.081185135	1.380617254	4.473370757	5.441275938	5.936645888	6.004148146	3.515157177	2.674505752	3.361078518	3.433525975	3.477812802	1.359854308	4.241614151	5.327781316	3.083899738	1.350478421	1.95207997	2.787834049	4.269957528	4.027062651	4.38417246	2.223883202	2.769809733	1.697048077	2.515518035	2.071963885	2.049588582	2.797122052	2.835381699	2.392670708	2.631485131	2.324867991	2.231043594	2.471671362	2.708070375	2.075076437	2.453894092	1.626516138	2.614884996	1.335334787	1.327664457	1.236859406	3.906586406	3.555620029	3.62594227	3.05123806	1.049475086	2.772180113	2.37691458	2.658197428	1.318461058	1.247008341	2.456379026	2.502141913	2.606995096	3.318782337	2.153140478	0.567290876	1.735233599	2.414163275	1.869300292	2.937746416
Acids	Benzoic acid	A128003-101	2.81041136	1.609438345	1.51234382	0.90797238	2.130405568	3.004707913	1.22739234	1.238902809	2.366744421	4.777743419	1.124617571	1.628458704	1.300438715	1.235141136	3.686914572	5.471488104	2.174224282	1.941473469	3.32981454	12.78843112	1.69000162	2.058633712	1.701868398	1.425605769	3.407418695	3.707240838	2.32519031	1.014890788	3.229223858	1.743514302	1.647708711	1.01496978	1.133172688	2.700040689	3.561303832	3.190883038	1.673590264	1.849200682	1.675711519	3.416045018	4.357299986	2.554593164	2.481521051	4.263143202	2.55344856	2.083451441	3.156435863	2.274089193	2.701437867	3.251704934	4.448962324	2.293099846	1.570937746	3.209406332	3.355430984	3.430721492	2.120549608	1.442753907	3.599558071	1.974281861	4.329609806	2.193689747	1.946328888	3.932123545	3.984678316	3.997191978	2.527225099	1.813840426	3.55675028	2.680093153	2.361448127	2.384012443	2.266639302	2.161126122	3.981345344	4.965865412	3.486859131	1.969539446	4.830095424	7.084729892	1.959029564	1.885894676	1.514025675	1.441431084	3.287225266	2.99443659	1.765662422	1.172649719	2.375083322	1.678286776	2.909321321	1.283137809	0.987787359	2.640949896	3.773374412	3.307070251	2.223026011	1.941458448	1.441105655	4.95164727	2.766316671	1.69925377	1.440193157	3.398194855	2.746546801	1.684802505	1.941581141	1.74791721	1.470150525	3.561561505	3.997797796	1.850383637	1.359414966	3.024434052	2.264882693	5.561213685	1.520886547	2.892873947	3.122744444	2.819203814
Acids	Benzoic acid, 4-hydroxy-	A164003-101	1.327718229	1.400078874	0.790477022	1.709236855	1.751534211	2.124326405	1.725851998	1.370956523	1.290843699	4.77147004	1.467704032	1.245404281	2.059650096	1.829781113	0.942640637	2.535899711	1.913797854	1.397940296	1.052192449	4.155799398	1.806639514	2.028295845	2.784514184	1.724843459	1.054834334	2.467236306	2.480829426	0.735413048	0.995454531	2.155421919	1.697830599	1.890559317	1.182670441	1.245497426	3.754897661	1.319203211	1.779492741	2.281952735	1.710945904	1.293155415	3.825597818	3.301888565	4.612444404	3.287889677	1.094026266	3.09812864	3.879526425	3.368978062	3.947170535	3.859020778	4.783346209	3.7535681	2.31394543	3.259431796	4.928180278	5.660233335	5.063937829	3.082549375	3.445978571	1.381795807	3.902650054	3.005426328	2.21409791	2.446190723	3.761915982	4.457889932	4.087360553	4.851807021	6.464612944	1.094681597	3.714295092	3.195546226	5.086414994	4.059558377	4.359521467	10.28423764	20.97394774	2.644950756	4.99103314	1.62540683	1.429540442	1.986524485	1.559593542	1.52023391	0.614828894	2.419171855	1.982095105	0.733295593	0.92506633	2.643402967	2.349961659	2.14836753	1.31987689	1.100679599	1.566339307	1.64537771	1.613784416	2.24520104	1.644433745	1.459961894	2.464730605	1.92317586	1.695728801	1.408889147	1.037386551	2.050047949	3.33418415	3.076238122	1.869261633	0.853855545	2.232708481	1.987637106	0.902438993	0.764875764	2.274165754	1.280817385	1.842539749	2.445152909	1.687257047	3.677813241
Acids	Boric acid	A098003-101																																																													2.656192003																																																											
Acids	Citric acid	A182004-101	21.62387766	21.47971977	19.21417804	11.53742362	21.28224733	17.70461404	20.37999137	20.13606321	21.87861763	14.81755133	15.72072178	19.29566613	22.49757354	15.89701142	16.0477307	16.41610899	18.33583463	15.55633688	16.65303824	46.00478911	19.78390497	19.73663266	27.69762161	14.24799075	13.65658839	15.84400504	22.09123233	17.43327034	17.810837	19.72187427	18.9933411	21.88708365	21.99989044	23.08600608	15.11139534	18.60826581	18.45872028	18.62842429	15.36767701	14.66576313	18.32603317	19.9174028	20.99536124	24.1205209	21.21425778	18.32066294	16.55135839	17.39568831	12.63209933	13.75800041	18.36273663	16.59508894	16.64644471	16.5066736	17.20318412	12.26871051	14.8154648	15.04554044	19.21727345	13.69754152	19.56379208	17.85546482	21.13320734	20.26828366	18.97912601	19.51170178	21.67017508	21.05764989	22.97195563	24.7488215	18.63250322	20.08037762	17.54267113	15.74632263	18.6507192	15.05009288	17.38777538	14.91050135	16.52492239	16.08282539	16.4289481	22.1197531	19.3395318	14.73636515	14.74418279	14.71160108	17.36808674	17.31041624	17.70786288	17.01659347	20.44084442	21.24903962	21.33974891	22.95070725	30.04616043	14.09432704	14.98942548	15.24082764	15.00308171	14.5356965	20.09020321	20.15958822	24.06627322	25.30252116	14.79366776	20.53613724	15.67291248	23.18890844	16.29127045	14.88473456	16.47032182	17.76675637	18.55144996	21.78149777	17.12166628	9.48222807	19.54860313	23.4633806	24.03372203	9.425376222
Acids	Dihydroxymalonic acid	A145019-101	2.25253911	2.143287358	2.410970294		2.5963136	1.433696671	1.975322762		3.161175976		1.967023686		2.292531745	1.302399977	2.370368742	1.503968668	2.148580975		1.56012523		2.323021464	2.581535341	2.65445639		1.287124943	3.084501827	1.80188204	2.403665668	2.506864705	3.026673445		2.100196647	1.624918962	2.903845704	2.83254923	1.732141943	1.516827194			2.864844703	2.700185448	2.08867215	2.354982928	3.94653262	2.195714168	2.743240966	2.180468586	3.230129171	1.189475789	2.540986616	2.872539613	2.845956148	2.170339468	1.741903731	4.300284955	2.225730262		2.44140302	2.651403465	2.301912973	3.175836332	1.951471437	3.095599489	3.086344937	3.415872163	2.407981945	2.156927494	2.575188593	3.288003594	2.712484867	2.754749373	1.838771311			1.904453763	2.625818336	1.906693034	1.480649477	2.112997793	3.614205267	1.699422449	4.338681826	1.816932153	1.658083884	3.172731359	2.150958368	1.78938695	1.861417351	2.088083934	3.245645521	2.048769612	2.166814259	3.159060979	3.186096875	3.344805187	1.637421293				1.35953264	2.429615899	2.509944266	2.585799779	2.432395776		2.022352776	2.565305611	2.304353622	1.354443787	2.607642989	2.781427209	2.394417142	1.853629224	2.083204771	3.395156486		2.110005803	2.979947571	2.733471928	2.141857603
Acids	Fumaric acid	A137001-101	1.916388294	2.677753773	2.24957909	0.643230298	1.788547483	4.234264377	5.788014843	3.730407835	3.332801683	11.03931578	3.635034869	8.220363951	4.988560854	2.030826086	2.918102762	15.69069595	8.199459933	6.70526984	6.218748749	2.103190009	2.384098371	2.220085662	2.839542242	1.976234952	1.965017284	3.113425535	3.738673233	3.403470495	2.429393421	2.354010291	2.034083319	2.429330989	3.879401223	3.503836313	3.465748725	4.231315642	8.844844253	6.821067655	4.598703368	10.14994581	2.899481724	5.432527422	4.205332825	4.933019448	3.595543303	4.030641184	3.583413561	3.820465381	4.596458889	3.904525314	6.783349786	6.857503384	4.231356541	6.310559133	6.432698377	7.584132924	7.15125636	5.067628834	8.130312601	1.325485698	2.662542402	2.843191381	2.724507511	2.657479111	2.805807031	2.566403728	3.528451736	3.803251022	3.229028913	1.069228705	3.481543108	5.390564653	7.295409724	4.395717223	6.278319312	10.13361276	15.70809271	7.867234224	13.47982972	1.647241485	3.718533717	2.124985914	2.765218183	3.136138621	3.395797332	3.749613218	6.694313384	4.537115054	4.759421262	4.229145559	12.9242741	6.618957577	3.748668078	4.980284825	1.554968185	8.834399126	9.512991363	7.804066818	3.910164368	10.11312693	2.965779008	3.461506141	2.896021596	3.037602131	4.42836727	4.004642387	4.517274337	5.580498401	4.119068107	3.078134941	5.770723604	6.814852249	4.612581325	5.244497391	5.018771146	6.91006424	4.84940825	5.742552428	4.760196701	3.847881317
Acids	Fumaric acid, 2-methyl-	A140010-101																																																																10.85411495												9.685693929																																												
Acids	Glutaric acid, 2-oxo-	A158004-101	1.127808852	1.105196624	1.395463295	0.864006328	0.77573989	1.545138973	1.164033937	1.530820523	1.239583153	0.965742279	1.339400514	1.919590744	1.084253359	1.368407566	1.487880326	2.463645102	1.675915832	0.908947145	1.009209444	1.099717138	0.76925629	0.717620758	0.776550289	0.627662119	0.755281772	0.887389721	0.677218168	1.153989062	0.822690765	0.868955648	0.641957839	1.122854215	1.076177167	0.808045459	1.426593152	1.099502672	2.027939863	0.838927133	0.67325617	1.322384292	1.096599958	1.418561662	1.622834669	1.46422709	0.793585297	2.028942529	1.234354446	1.541862033	1.151954192	1.687718955	2.754452572	2.534835636	1.994481702	2.246127625	1.858650644	0.949877193	1.191500115	1.386119669	1.47447964	1.200124752	1.001944294	1.078883686	1.229335265	1.14257756	0.731182791	0.694617881	0.96330147	1.04777922	0.946448386	1.040689692	1.453721782	1.356192766	1.343835114	1.108080869	2.227901003	1.004578412	1.846492524	1.584282308	1.322260706	1.120852911	1.00559914	0.509584992	0.671215616	0.870277169	1.292155904	1.002130467	0.779513017	1.222400526	1.030735194	0.781666588	1.446909155	1.177807098	1.073720558	0.946563536	2.051062006	0.75158031	1.174046635	0.716840678	0.888863761	2.725080978	0.6040551	0.635454486	0.796387379	0.517387838	0.756981236	0.771207083	0.456417175	0.920746242	0.8237972	0.942948963	0.924611095	0.835264292	1.134758934	1.135316303	0.947212668	1.002348088	0.956007427	0.675472941	0.657947288	0.712062286
