Class	Name	MPIMP-ID	Spikelet_N22 Control FL_End of stress	Spikelet_N22 Control FL_End of stress	Spikelet_N22 Control FL_End of stress	Spikelet_N22 Control FL_End of stress	Spikelet_N22 Control FL_End of stress	Spikelet_N22 Heat & drought EGF_00d_Start of stress	Spikelet_N22 Heat & drought EGF_00d_Start of stress	Spikelet_N22 Heat & drought EGF_00d_Start of stress	Spikelet_N22 Heat & drought EGF_00d_Start of stress	Spikelet_N22 Heat & drought EGF_00d_Start of stress	Spikelet_N22 Heat & drought FL_End of stress	Spikelet_N22 Heat & drought FL_End of stress	Spikelet_N22 Heat & drought FL_End of stress	Spikelet_N22 Heat & drought FL_End of stress	Spikelet_N22 Heat & drought FL_End of stress	Spikelet_N22 Heat & drought FL Rewatering 12h	Spikelet_N22 Heat & drought FL Rewatering 12h	Spikelet_N22 Heat & drought FL Rewatering 12h	Spikelet_N22 Heat & drought FL Rewatering 12h	Spikelet_N22 Heat & drought FL Rewatering 12h	Spikelet_N22 Heat & drought FL Rewatering 36h	Spikelet_N22 Heat & drought FL Rewatering 36h	Spikelet_N22 Heat & drought FL Rewatering 36h	Spikelet_N22 Heat & drought FL Rewatering 36h	Spikelet_N22 Heat & drought FL Rewatering 36h	Spikelet_N22 Heat & drought FL Rewatering 60h	Spikelet_N22 Heat & drought FL Rewatering 60h	Spikelet_N22 Heat & drought FL Rewatering 60h	Spikelet_N22 Heat & drought FL Rewatering 60h	Spikelet_Dular Control FL_End of stress	Spikelet_Dular Control FL_End of stress	Spikelet_Dular Control FL_End of stress	Spikelet_Dular Control FL_End of stress	Spikelet_Dular Control FL_End of stress	Spikelet_Dular Heat & drought EGF_00d_Start of stress	Spikelet_Dular Heat & drought EGF_00d_Start of stress	Spikelet_Dular Heat & drought EGF_00d_Start of stress	Spikelet_Dular Heat & drought EGF_00d_Start of stress	Spikelet_Dular Heat & drought EGF_00d_Start of stress	Spikelet_Dular Heat & drought FL_End of stress	Spikelet_Dular Heat & drought FL_End of stress	Spikelet_Dular Heat & drought FL_End of stress	Spikelet_Dular Heat & drought FL_End of stress	Spikelet_Dular Heat & drought FL Rewatering 12h	Spikelet_Dular Heat & drought FL Rewatering 12h	Spikelet_Dular Heat & drought FL Rewatering 12h	Spikelet_Dular Heat & drought FL Rewatering 12h	Spikelet_Dular Heat & drought FL Rewatering 12h	Spikelet_Dular Heat & drought FL Rewatering 36h	Spikelet_Dular Heat & drought FL Rewatering 36h	Spikelet_Dular Heat & drought FL Rewatering 36h	Spikelet_Dular Heat & drought FL Rewatering 36h	Spikelet_Dular Heat & drought FL Rewatering 36h	Spikelet_Dular Heat & drought FL Rewatering 60h	Spikelet_Dular Heat & drought FL Rewatering 60h	Spikelet_Dular Heat & drought FL Rewatering 60h	Spikelet_Dular Heat & drought FL Rewatering 60h	Spikelet_Dular Heat & drought FL Rewatering 60h	Spikelet_Anjali Control FL_End of stress	Spikelet_Anjali Control FL_End of stress	Spikelet_Anjali Control FL_End of stress	Spikelet_Anjali Control FL_End of stress	Spikelet_Anjali Control FL_End of stress	Spikelet_Anjali Heat & drought EGF_00d_Start of stress	Spikelet_Anjali Heat & drought EGF_00d_Start of stress	Spikelet_Anjali Heat & drought EGF_00d_Start of stress	Spikelet_Anjali Heat & drought EGF_00d_Start of stress	Spikelet_Anjali Heat & drought EGF_00d_Start of stress	Spikelet_Anjali Heat & drought FL_End of stress	Spikelet_Anjali Heat & drought FL_End of stress	Spikelet_Anjali Heat & drought FL_End of stress	Spikelet_Anjali Heat & drought FL_End of stress	Spikelet_Anjali Heat & drought FL_End of stress	Spikelet_Anjali Heat & drought FL Rewatering 12h	Spikelet_Anjali Heat & drought FL Rewatering 12h	Spikelet_Anjali Heat & drought FL Rewatering 12h	Spikelet_Anjali Heat & drought FL Rewatering 12h	Spikelet_Anjali Heat & drought FL Rewatering 12h	Spikelet_Anjali Heat & drought FL Rewatering 36h	Spikelet_Anjali Heat & drought FL Rewatering 36h	Spikelet_Anjali Heat & drought FL Rewatering 36h	Spikelet_Anjali Heat & drought FL Rewatering 36h	Spikelet_Anjali Heat & drought FL Rewatering 36h	Spikelet_Anjali Heat & drought FL Rewatering 60h	Spikelet_Anjali Heat & drought FL Rewatering 60h	Spikelet_Anjali Heat & drought FL Rewatering 60h	Spikelet_Anjali Heat & drought FL Rewatering 60h	Spikelet_Anjali Heat & drought FL Rewatering 60h
Acids	Azelaic acid	A181007-101	0.472222459	1.385533235		0.312741602	0.14911434	0.397534676		0.754644699	0.499458029		0.602440641	1.180679707	1.289698222	2.042724837		0.488002108	3.61913431					0.591641412	3.419962389	3.278888869	0.129269289	1.099086533	0.704404619	0.388859789			0.123650326		1.108374347		1.257797545	0.637086659			1.727991216	0.465038196	0.512371782		0.129691648		1.055336789	2.046418061	0.14502942	0.157002961		0.417030665				0.637221226		1.424561803	1.246480121		0.319933691	0.211436869	0.443423451	0.187007472	0.232748005	4.395346963	2.639516852	0.962599855	3.946175216		23.01591431	0.782343096	0.195893813		0.186543988	0.259917093	0.224702933	0.159146884	2.939653932	3.10988241	1.53686631	3.646914698		0.197653502		1.008022296	1.838196956	2.400482686	0.936975966	0.152878515
Acids	Benzoic acid	A128003-101	10.95603396	6.245969048	10.65616289	9.653899671	8.275798828	2.994990168	6.156369642	5.781531543	4.043861012	5.407892588	9.228999772	11.05277978	3.988932569	3.502616848	8.587672645	3.139920491	3.555331846	5.372941023	3.216547114	3.386355212	3.973166338	3.5546259	5.704846139	2.997559261	3.782920647	3.662424156	4.010196754	3.383678654	2.93548439	7.023172317	5.008659413	5.294522517	4.541618668	3.687492366	8.243693191	6.333793738	4.676513764	5.840864487	5.908686539	9.680852559	11.9385475	6.605245055	3.691992511	4.253036763	4.208463172	11.33050799	4.266401289	3.231995709	6.70340921	4.849662197	4.426275527	4.006659827	3.841112153	4.102849574	3.984094415	5.577133781	6.499224125	4.801695793	3.842579768	4.871533834	4.296387366	4.082879965	5.49857733	6.724015668	3.965422737	3.873795214	4.11516543	3.628592477	27.40183529	6.506060549	7.623270843	3.528464196	3.697009615	4.960911007	4.075536956	4.181104104	3.49264471	2.378941979	3.039922512	4.67260134	5.57265687	4.333172814	3.804038367	3.763734287	4.472702737	3.810921417	3.008631963	3.409978799
Acids	Benzoic acid, 4-hydroxy-	A164003-101	3.026120342	3.434728818	3.79641015	3.554686508	3.564394318	0.54430108	1.517512946	1.765163088	1.055015102		3.160724737	2.863319658	2.506014542	1.739637973	2.917839278	0.972509279	0.431328442	2.87935824	1.344076518	1.08275964	0.574723156	2.395301638	1.73369373	1.874881606	1.099293771	1.50021761	0.977701702	0.818868846	1.952836964	4.249459695	2.157194519	1.8178606	1.538844618	3.367715562	5.473078301	3.21845643	2.730875226	2.110592988	3.142562339	6.259936464	8.800657359	2.370100155	3.121111749	0.951376207	0.592732108	2.825888481	2.197734708	1.201165491	2.150120288	1.246005266	1.045694402	0.643047199	2.067596282	1.014384477	0.449441123	2.855192228	1.818760715	1.313902355	0.978750593	0.497116877	2.05471786	1.771948527	1.030520704	0.893989742	0.797152771	0.503013979	1.544109738	1.050476055	13.31597098	2.870824067	2.526127899	0.637462633	1.585117895	1.769935468	0.841947165	0.768331409	0.587536819	1.317690749	0.689957921	0.802333626	2.125713361	1.30181809	0.931396183	0.49758603	2.19162905	1.454828978	1.568215943	0.893312707
Acids	Boric acid	A098003-101	1.965867505	1.567748093	3.77308537		1.538081766	1.844951589	2.954006504				0.914906142	1.360207343				1.303730992	2.575364697	1.96556226			2.422682622	1.575289101				1.899200524		2.421552438		3.288012005	1.886979212				3.010151438	2.072697151				2.299938157	2.436859751	2.62977178		1.783570523	2.219394174	4.936235708			3.578727972	2.357490006				1.90844369	1.930269403				1.813531476	2.219696299				2.733921382	3.21903361	1.420480677			8.140546055	2.059015572				2.462042539	2.200965008				1.311765656	3.274653226				1.548710822	3.293399251	2.49162383		
Acids	Citric acid	A182004-101	7.530910482	7.313279683	7.509454234	8.241985407	9.55671809	9.875423695	9.39919642	8.35627045	10.50643754	7.378873724	8.620454782	9.870984729	9.923012492	10.36140329	8.084511414	12.90789554	9.293104163	12.09423122	11.2214979	8.374636839	9.277179863	10.73817907	9.912568265	9.25646689	9.679151531	9.264698833	9.997811458	11.94639102	10.2526331	7.383204726	6.765456418	8.077265101	7.05920727	6.738742664	6.274430867	5.864360315	6.349496027	1.918849121	5.195992042	4.947684835	4.978436467	4.982830275	6.909906485	6.761156119	5.784463975	7.059303247	6.560654466	7.727881597	8.103964683	7.332203501	7.012983449	7.094717994	6.514778503	6.608653574	3.803605052	6.874132847	6.036449476	3.777484831	7.822321502	7.805032037	8.935742299	8.152885451	6.59187154	8.839475104	10.112862		9.530214607	8.345375138	5.538032565	5.464675445	6.664134032	7.375978107	5.749696365	6.864352899	9.277320515	8.836669601	8.093205561	8.499593563	8.092923893	6.521498086	8.136045429	7.592817789	6.164143251	8.954072398	7.319283965	6.484328751	7.211177315	5.497118375
Acids	Fumaric acid	A137001-101	10.53042912	6.109589085	6.670054208	6.774459641	8.409859997	1.378836608	1.682645073	1.450079779	1.893434392	0.751174048	7.48033309	7.701551117	2.006248365	2.252321105	7.826497254	3.398399711	1.721028611	3.751977584	3.508493694	2.000490205	2.771946421	1.765018161	1.057684517	1.785212336	0.950315076	2.286917899	2.219658866	2.054817444	2.525551278	1.451417144	4.043075264	3.458525856	1.945175168	1.599415063	2.813679191	1.179948477	2.10377177	0.749710557	1.891460036	5.762075569	7.703457231	1.051311126	2.970374397	2.598168106	2.366511493	6.011031205	2.156391132	1.38267254	2.176228362	1.563758396	1.931138929	2.197499621	1.468248013	2.037037595	0.780999257	2.195721997	1.580910837	1.572129861	1.541997218	1.032305589	2.127433071	2.927334812	1.692001873	1.589001602	1.600494761	0.817271553	1.399769862	1.100375949	29.84607255	7.480460689	6.305024838	1.819540377	1.723263098	2.809040864	1.992811255	1.226788784	2.035954347	1.816554878	1.391249588	1.667662033	1.628316025	1.336261661	1.911959884	2.489589272	1.830706183	1.584520725	1.458297499	1.310982104
Acids	Gluconic acid, 2-oxo-	A187003-101	9.078461415	7.466606169	8.33396285	8.79217639	9.102944829		6.225945101			11.65720406	9.83704431	11.2653076	7.26855116	8.038466194	9.994075556	6.878008801		6.016255112	6.171749736	11.41248549	6.386014993																			7.047906507	9.819834854			6.456483337		7.405632703				6.543586831																			11.29581413	9.2779499	10.26380696	7.256823803		6.351386769	6.398738633	8.520072333	6.531589572	8.082458922		7.029075177	4.849916759	5.657883467						
Acids	Glutaric acid, 2-oxo-	A158004-101	3.795395561	1.567513294	1.480717893	2.026751929	2.718667852	1.231026004	1.17155944	1.458714334	1.340159194	1.469460558	1.593497078	1.848984975	1.824005997	1.922729223	1.453982465	1.88276186	1.634399085	2.13287536	2.052728404	1.696303136	2.111645059	1.588863005	1.634402271	1.63354195	2.39338776	1.526520937	1.935030118	2.295291377	1.889184506	3.373597937	2.338364088	2.514972116	2.742748153	2.027424579	2.518028466	2.34224213	1.505152561	2.420117377	1.839035456	1.222438046	1.435325032	1.742656373	1.496943605	1.804759577	1.907983855	2.43406005	1.426446651	2.348621553	1.971035595	1.84830434	1.852564338	2.184817306	2.0713443	2.143046931	1.574275653	1.334973142	1.831933596	2.036147377	1.52106833	1.703941433	1.073901729	1.337142431	1.176347951	1.425334741	1.511919979	1.034332902	0.961531411	0.911174304	2.694574015	1.035556944	0.88742318	2.536049045	1.514820152	2.348052239	1.435491031	1.380455207	1.646210718	1.152497562	1.39257452	2.814530127	1.487019327	1.34574857	1.741783261	1.37219898	1.075712797	1.031465635	1.324501288	1.200917558
Acids	Glycolic acid	A106002-101	5.001976921	4.69429904	6.053306001	4.190756734	5.031063548	9.680637824	15.39703485	13.33051846	10.01925592	9.627020618	5.051711818	4.887155057	9.855848845	8.80186181	4.346203213	11.10769744	7.497134375	8.579925876	5.197717876	7.970050713	6.975629423	6.740690087	8.093249817	7.005950735	8.117808626	5.654637991	7.439964665	8.488694709	8.466276715	7.30434603	6.498370018	6.977120385	7.21488615	8.746530049	11.37068533	9.89901405	7.702767265	9.655963175	7.582644506	5.008917641	5.867137799	6.784718652	7.417221951	5.65324379	5.249761833	12.01097426	6.449661446	6.134737659	3.36853518	3.176509462	2.782037938	2.868525725	3.986643922	5.466777668	4.153155552	6.488385832	6.146660128	5.901070157	8.34968371	8.559744095	8.411699791	8.398500327	8.571936159	11.33102271	9.903598701	8.682544101	8.607767495	8.630525717	19.24979797	4.896954996	5.993516721	9.256153553	9.395448802	8.198904585	6.943751162	6.028040623	6.088062087	7.182466469	4.257203201	4.695034052	4.731182866	3.521368759	3.488511534	6.335929561	7.698809316	6.382968141	5.764559032	4.683450357
Acids	Glyoxylic acid	A100001-101	5.735290978	4.461459061	4.939901286	3.765559618	5.296970937	3.497885441	4.322442601	4.424648528	2.850029297	3.239687319	4.580232987	5.169392571	3.156298961	2.599385852	4.506184518	2.633323408	2.803176885	2.959030194	2.608109746	2.887111366	4.113868428	2.011310013	3.620568607	3.002273543	2.684886361	1.854213372	2.427280508	3.359972428	3.202819116	4.917501109	3.015457484	4.140344972	4.929348002	4.045303517	4.920830764	5.458225726	4.577614885	5.751173277	4.726291336	4.271399108	4.221672479	2.819331653	3.927933884	2.19973331	2.491004097	5.108011498	2.884499709	2.278690989	3.165961467	2.244864044	2.68430431	2.168595357	2.69826169	2.417306658	1.884134381	2.815058019	2.312515483	2.919376763	3.218453094	3.595641608	3.992041053	3.59205864	5.433708064	3.493323401	3.452290066	3.693248411	2.43727466	3.75903961	13.73438512	3.643274752	4.70338331	3.222474338	2.878021472	3.568261122	1.63920885	2.04843522	2.295905155	2.551056773	2.347981258	3.998486638	2.583211372	2.665435193	2.695118806	2.857994403	2.6498295	2.25256555	2.007490104	1.877881565
