Class	Name	MPIMP-ID	Spikelet-Control -Flowering-N22	Spikelet-Control -Flowering-N22	Spikelet-Control -Flowering-N22	Spikelet-Control -Flowering-N22	Spikelet-Control -Flowering-N22	Spikelet-Heat & Drought-EGF Start of stress-N22	Spikelet-Heat & Drought-EGF Start of stress-N22	Spikelet-Heat & Drought-EGF Start of stress-N22	Spikelet-Heat & Drought-EGF Start of stress-N22	Spikelet-Heat & Drought-EGF Start of stress-N22	Spikelet-Heat & Drought-FL End of stress-N22	Spikelet-Heat & Drought-FL End of stress-N22	Spikelet-Heat & Drought-FL End of stress-N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	Spikelet-Heat & Drought-FL 60h Rewatering-N22	Spikelet-Heat & Drought-FL 60h Rewatering-N22	Spikelet-Heat & Drought-FL 60h Rewatering-N22	Spikelet-Control -Flowering-Dular	Spikelet-Control -Flowering-Dular	Spikelet-Control -Flowering-Dular	Spikelet-Control -Flowering-Dular	Spikelet-Control -Flowering-Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	Spikelet-Heat & Drought-FL End of stress-Dular	Spikelet-Heat & Drought-FL End of stress-Dular	Spikelet-Heat & Drought-FL End of stress-Dular	Spikelet-Heat & Drought-FL End of stress-Dular	Spikelet-Heat & Drought-FL End of stress-Dular	Spikelet-Heat & Drought-FL 12h Rewatering-Dular	Spikelet-Heat & Drought-FL 12h Rewatering-Dular	Spikelet-Heat & Drought-FL 12h Rewatering-Dular	Spikelet-Heat & Drought-FL 12h Rewatering-Dular	Spikelet-Heat & Drought-FL 12h Rewatering-Dular	Spikelet-Heat & Drought-FL 36h Rewatering-Dular	Spikelet-Heat & Drought-FL 36h Rewatering-Dular	Spikelet-Heat & Drought-FL 36h Rewatering-Dular	Spikelet-Heat & Drought-FL 36h Rewatering-Dular	Spikelet-Heat & Drought-FL 36h Rewatering-Dular	Spikelet-Heat & Drought-FL 60h Rewatering-Dular	Spikelet-Heat & Drought-FL 60h Rewatering-Dular	Spikelet-Heat & Drought-FL 60h Rewatering-Dular	Spikelet-Heat & Drought-FL 60h Rewatering-Dular	Spikelet-Heat & Drought-FL 60h Rewatering-Dular	Spikelet-Control -Flowering-Anjali	Spikelet-Control -Flowering-Anjali	Spikelet-Control -Flowering-Anjali	Spikelet-Control -Flowering-Anjali	Spikelet-Control -Flowering-Anjali	Spikelet-Heat & Drought-EGF Start of stress-Anjali	Spikelet-Heat & Drought-EGF Start of stress-Anjali	Spikelet-Heat & Drought-EGF Start of stress-Anjali	Spikelet-Heat & Drought-EGF Start of stress-Anjali	Spikelet-Heat & Drought-EGF Start of stress-Anjali	Spikelet-Heat & Drought-FL End of stress-Anjali	Spikelet-Heat & Drought-FL End of stress-Anjali	Spikelet-Heat & Drought-FL End of stress-Anjali	Spikelet-Heat & Drought-FL End of stress-Anjali	Spikelet-Heat & Drought-FL End of stress-Anjali	Spikelet-Heat & Drought-FL 12h Rewatering-Anjali	Spikelet-Heat & Drought-FL 12h Rewatering-Anjali	Spikelet-Heat & Drought-FL 12h Rewatering-Anjali	Spikelet-Heat & Drought-FL 12h Rewatering-Anjali	Spikelet-Heat & Drought-FL 12h Rewatering-Anjali	Spikelet-Heat & Drought-FL 36h Rewatering-Anjali	Spikelet-Heat & Drought-FL 36h Rewatering-Anjali	Spikelet-Heat & Drought-FL 36h Rewatering-Anjali	Spikelet-Heat & Drought-FL 36h Rewatering-Anjali	Spikelet-Heat & Drought-FL 36h Rewatering-Anjali	Spikelet-Heat & Drought-FL 60h Rewatering-Anjali	Spikelet-Heat & Drought-FL 60h Rewatering-Anjali	Spikelet-Heat & Drought-FL 60h Rewatering-Anjali	Spikelet-Heat & Drought-FL 60h Rewatering-Anjali	Spikelet-Heat & Drought-FL 60h Rewatering-Anjali
Acids	4-Hydroxybenzaldehyde	A150014-101		3.359126528		4.032312399			4.072311127	4.548209872	4.982047674			3.26217304									4.951807873				4.099900226		6.796610318	10.05306272	10.84040139				5.941599557	11.88761271		13.31582031	6.532824649	9.464022988	8.506754693				5.438433948	7.814208888			3.746905496		6.276211186					4.78827971				13.76692321		5.37592056	3.807995619		4.143790976								3.901154656		5.480660336		4.275893293		5.377739919		4.299157616			4.244777227	9.571585788	
Acids	Aconitic acid, cis-	A176002-101						6.599973783	5.54276786	8.712082718							7.294981873		6.071793392			7.353991161		6.933541136			6.287792309		3.786273329					3.809345739	4.716763269											7.835520451				7.65122393		6.856358848	6.532142792	5.430396862		8.249499948		4.538398396	9.026680141				4.284384606		6.319659313							5.095363984						4.385456223			6.830358856		6.475878396	6.646418401		5.605786007
Acids	Azelaic acid	A181007-101	1.902142138	0.817717116	1.601998167	0.924817348	2.223696765	1.478075874	1.204484941	1.552355996	1.467842168	0.700251974	0.286723325	2.31486877	0.350258001	2.13064583	1.840119724	0.937193256	1.528420264	1.363508518		0.922780795	0.901349306	0.668123057	1.497063556	0.310362387	0.909851493	1.409803428	1.808282905	1.552094767	0.527762954	0.30389721	0.133962186	0.451853434	0.537328622		1.80109892		1.333481506	0.738313903	0.625022747	2.089296673	0.360228211	2.367705791	2.551199926		0.823565305	1.736986347	0.975664665	0.366868726		1.311349895		0.45523889	1.495405393	1.869494361	1.859559876	2.220316133	1.977361572	3.065945018	1.332558139	2.934818048	2.298679436		1.097757163			2.423969576	1.996703447			2.103524157	1.211381151	2.833839332	1.979351136	2.816644483	1.982889438	1.129050741	1.831951022	1.665099316	0.484628821	1.322485495	2.644098228	1.402371099	1.467669273	1.699499327
Acids	Benzoic acid, 4-hydroxy-	A164003-101	0.566843063					0.859631967		1.223123098	0.541730061					1.720061917	0.887290682		1.33048271			0.952902735	0.816665562				6.183720151	1.851008145	2.115435443	1.622219751	2.790196454	2.340992785	1.453824262	2.08339169	2.97782224	2.90694699	2.682788139	1.86211444	0.801012837		1.872059125	1.173999533	1.169939288			1.876482729	0.786741817	2.176015647			4.454651034	4.898775336	1.261509447	0.825912395		0.867509867							0.48679041		0.671158992			0.941332187	1.061930712	1.531629235	0.910247179					0.8483249	1.116299956	0.782313188	0.496696486	1.359237383	1.212879118	1.458463699	0.60250894	0.708296953		
Acids	Citric acid	A182004-101	6.229178123	11.03933801	5.871845008	7.298024927	6.702373812	5.940230959	10.38970556	5.063211155	7.176867368	7.274450306	7.218455555	7.39738449	7.229731097	6.853568614	6.205794919	9.987060658	5.594506965	5.650472133	7.0779513	5.780623994	7.962993187	13.02375044	6.478387108	7.794480895	5.298266055	7.057671429	6.996731855	7.028599692	6.006846037	8.307296236	9.105683421	10.79631455	4.94297014	7.728897905	8.057113351	7.996603469	7.436271718	8.956669496	7.772665392	5.522614184	9.750150691	6.029141969	7.363037472	6.151330445	9.468034349	5.698107687	6.801407744	6.53653346	5.852885769	6.731822532	7.806775821	8.838790358	6.130921324	5.774188706	8.219578064	6.464163355	7.567453996	24.24247745	7.490558576	6.015524698	8.121497412	61.91045269	6.766026734	10.28712781	5.908428994	6.035420357	6.987915687	19.21751996	6.555349171	5.693370735	10.04372417	5.771877159	7.266828744	6.946925458	13.42148296	4.662640249	7.413430064	6.00475883	6.69491237	5.567390719	9.318991456	12.05445799	8.162223442	6.993415904
Acids	Glutaric acid, 2-oxo-	A158004-101	2.075105976	0.807035113	1.847414817	0.36484372	2.142590704	2.027942764	0.972695721	1.474936277	1.995535645	1.218729138	1.995660783	0.747002709	1.837243821	2.304886803	2.704998584	1.718372736	2.319012841	2.535459519	1.699875887	2.404520054	1.641080871	1.604989883	2.981456869	2.714426296	2.24841552	2.141191218	2.59237679	0.905082757	2.25542973	1.430916348	1.604415468	1.445047575	3.062143208	1.853669968	2.184676077	2.872345108	2.209995414	2.326184652	1.920984743	2.560676542	1.271130382	2.821257486	0.594613725	2.237102653	1.69721618	2.190773848	0.861512464	3.651692641	2.275973093	3.264030421	3.104634859	3.246411772	2.571340808	3.396567424	0.732712656	1.15599832	1.502697514	1.608883985	1.233319956	1.346189818	1.019171293	0.696044076	1.471216801	0.897385708	1.645521623	1.475454141	1.812750656	2.884676351	1.507899102	1.797660465	0.600638514	1.280143675	0.393037887	1.706860824	1.245180282	1.349082148	0.761367171	2.130707861	1.319768828	1.772425196	1.121982946	1.354319884	1.225342844	1.666696758
Acids	Glycolic acid	A106002-101			7.12727846		8.008595767	10.39689659		6.891151267	4.44443146					7.815285135	11.38840044	4.529561487	11.08530222	6.293846455	5.960608565	7.108498923	3.904421019		6.411194404	5.116516848	5.985592523				6.635565317				9.795296815	5.478666599	9.46012463	7.389607876			4.483623756	6.508627329		5.961935335		5.096481519	4.762746359	8.733482887			9.96836007	9.064868239	5.412112223	4.648526979	5.616375013	7.520977517		7.373629598			9.202126592	9.30300662	6.979889234		5.143584918			8.180759795	7.175845297	11.70092577	6.182188068	5.740496471		8.259913953		9.040087513	6.747748365	7.942292275		8.615259444	7.686295717	9.072703881		5.792153922	11.58804045	6.39631705
Acids	Isocitric acid	A182003-101	6.592216305	8.771104653	6.89274759	6.510981621	7.435035203	6.902968622	9.091473277	5.083342454	6.761222106	8.91236911	8.221689124	7.680545458	7.254835187	7.666592629	6.728601453	9.347181358	6.495908293	6.339975714	7.367246752	6.264768238	7.507240686	10.6231456	6.913026471	7.652160334	6.140063094	8.265781241	6.540035094	6.540826938	6.099621973	9.798166627	7.834383847	8.751169046	5.30211987	7.113441853	9.072584598	8.232995194	7.090042603	9.477741158	7.761775099	6.449114849	8.10906032	7.414466021	6.669097771	6.118279532	7.111362001	6.801540403	6.31859068	6.711734044	6.369559637	7.498218266	8.237592443	9.048801615	6.638265047	6.023482933	10.46349821	6.907318255	7.917576956	22.52175297	8.186681318	7.206034842	7.166927299	53.2493489	6.644196876	11.11992261	6.426570187	7.344413213	7.547494426	19.30252852	7.472457967	6.98873497	8.125990413	7.168477154	6.762645875	7.716462642	11.04614	5.784526253	7.143042855	8.068557203	6.946556418	6.733925051	8.796506007	9.845524714	8.072743455	7.019985413
Acids	Itaconic acid	A135004-101							4.818355481	7.888628459													8.715625485																		4.574661367					4.967028835																	6.72813663																8.227172465		15.55066726					
Acids	Malic acid	A149001-101	5.701243758	7.883504904	7.602383237	7.667971779	8.13686875	5.926523107	8.165911569	6.117550386	7.891450201	9.151027128	6.697179356	8.840394301	8.084347666	6.199199785	6.684201928	8.174662095	7.26458696	6.646650993	7.530175583	7.441351121	9.398912076	10.21390084	7.823008285	8.904108039	4.10652522	7.163498893	7.272529201	8.181810397	6.517304271	7.728071196	7.10016132	9.27641837	6.147559755	8.973061512	8.229932274	7.099315124	8.449438646	10.38194287	9.867237987	6.219847488	7.763279609	6.153861274	8.365159748	8.786896962	7.030228983	6.217914116	8.454553263	7.309053849	11.02572981	6.251771341	7.586892891	7.722574724	7.985319759	7.126067001	6.458475316	7.618231854	6.115910093	29.06550782	8.612348474	5.877987889	6.681723747	58.66324472	7.017450629	12.29685547	6.525722501	6.655786536	8.010774362	25.79114302	8.535156924	6.605484921	8.286874395	7.189136384	8.637254978	8.513186614	11.37420889	4.962367086	9.107485524	7.859695641	8.670388115	4.928977157	8.262753658	9.752374049	9.358775336	10.06473402
