Class	Name	MPIMP-ID	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FL12hRewatering-N22	Spikelet-Heat&Drought-FL12hRewatering-N22	Spikelet-Heat&Drought-FL12hRewatering-N22	Spikelet-Heat&Drought-FL12hRewatering-N22	Spikelet-Heat&Drought-FL12hRewatering-N22	Spikelet-Heat&Drought-FL36hRewatering-N22	Spikelet-Heat&Drought-FL36hRewatering-N22	Spikelet-Heat&Drought-FL36hRewatering-N22	Spikelet-Heat&Drought-FL36hRewatering-N22	Spikelet-Heat&Drought-FL36hRewatering-N22	Spikelet-Heat&Drought-FL60hRewatering-N22	Spikelet-Heat&Drought-FL60hRewatering-N22	Spikelet-Heat&Drought-FL60hRewatering-N22	Spikelet-Heat&Drought-FL60hRewatering-N22	Spikelet-Heat&Drought-FL60hRewatering-N22	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FL12hRewatering-Dular	Spikelet-Heat&Drought-FL12hRewatering-Dular	Spikelet-Heat&Drought-FL12hRewatering-Dular	Spikelet-Heat&Drought-FL12hRewatering-Dular	Spikelet-Heat&Drought-FL12hRewatering-Dular	Spikelet-Heat&Drought-FL36hRewatering-Dular	Spikelet-Heat&Drought-FL36hRewatering-Dular	Spikelet-Heat&Drought-FL36hRewatering-Dular	Spikelet-Heat&Drought-FL36hRewatering-Dular	Spikelet-Heat&Drought-FL36hRewatering-Dular	Spikelet-Heat&Drought-FL60hRewatering-Dular	Spikelet-Heat&Drought-FL60hRewatering-Dular	Spikelet-Heat&Drought-FL60hRewatering-Dular	Spikelet-Heat&Drought-FL60hRewatering-Dular	Spikelet-Heat&Drought-FL60hRewatering-Dular	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FL12hRewatering-Anjali	Spikelet-Heat&Drought-FL12hRewatering-Anjali	Spikelet-Heat&Drought-FL12hRewatering-Anjali	Spikelet-Heat&Drought-FL12hRewatering-Anjali	Spikelet-Heat&Drought-FL12hRewatering-Anjali	Spikelet-Heat&Drought-FL36hRewatering-Anjali	Spikelet-Heat&Drought-FL36hRewatering-Anjali	Spikelet-Heat&Drought-FL36hRewatering-Anjali	Spikelet-Heat&Drought-FL36hRewatering-Anjali	Spikelet-Heat&Drought-FL36hRewatering-Anjali	Spikelet-Heat&Drought-FL60hRewatering-Anjali	Spikelet-Heat&Drought-FL60hRewatering-Anjali	Spikelet-Heat&Drought-FL60hRewatering-Anjali	Spikelet-Heat&Drought-FL60hRewatering-Anjali	Spikelet-Heat&Drought-FL60hRewatering-Anjali
Acids	4-Hydroxybenzaldehyde	A150014-101	1.22342103	1.018665907	0.452882971	0.689934591	1.365602545	0.877933135	0.809607221	0.897236984	0.928162539	3.178325381	1.227599527	1.018344882	0.910260613	1.147305341	0.949634729	0.736413317	0.84402291	1.011479022	0.662406378	0.808561426	1.085992518	1.165711603	1.301552449	1.017610132	0.7490078	0.988984882	1.015090272	0.830261492	0.955684528	0.536593333	7.98732656	15.87483722	8.130792046	7.598382708	8.285749665	7.166602165	4.46264816	5.046251735	4.668917729	4.791879906	3.694704543	2.818784457	2.612260072	2.807187074	1.057624377	1.761497378	2.156262576	1.902644033	2.924322941	0.998164348	2.833736772	3.487944853	2.793953922	3.999278089	5.098857835	4.825538171	3.770116172	9.37103277	10.58628075	0.807732286	1.243272353	1.218352717	1.203533023	0.835650611	0.917027995	0.709600675	1.309118309	1.497927559	1.17135673	1.136402857	1.017387871	1.244777941	1.243208212	1.071281664	1.395919324	1.234606243	1.10611944	1.291505206	1.184123504	4.129120079	1.429965436	1.566207172	0.815130363	0.943230029	4.930968119	0.992307758	1.317788175	1.324259532	0.820391411	1.07583654
Acids	Aconitic acid, cis-	A176002-101	1.877582663	4.61379022	3.366487964	3.922987934	3.168716441	4.999247898	5.678200364	4.931764945	7.226226484	1.42973642	5.182402332	5.881582077	4.26285643	4.594596188	2.384229493	2.104776829	4.675897377	3.876596969	1.68561114	2.646441334	1.517209743	3.554002201	1.347281526	1.295792337	2.188957885	3.611588335	4.618306374	3.059267117	3.299732994	1.285378739	2.918934652	4.448388379	3.065700383	2.394352487	1.937997921	2.990030835	3.882297182	3.881782011	2.134818786	2.366006696	1.423531365	3.771463061	2.903780676	2.585080315	4.609350572	3.155697517	6.599515443	3.378816903	2.370924282	2.212592164	3.101403443	5.036738304	3.444082224	2.764256132	2.186106091	1.089538029	3.061221046	1.322958793	1.195273725	3.024192014	5.49135419	2.819494238	3.01002268	2.623606181	2.661362266	3.412811997	4.589176415	3.308968496	2.538924045	3.086021719	2.108290692	2.812525762	3.552139442	1.98197355	2.143092721	1.098491644	2.769405466	1.107124088	1.287331494	2.91666644	3.15187691	4.489826165	2.59993361	2.140326638	2.212740763	2.226386868	5.882633729	3.65372628	1.239490062	1.377392496
Acids	Benzoic acid	A128003-101	3.710193099	1.480063768	1.458358777	2.203815053	3.77209563	2.899184671	1.434605292	1.696004258	3.364009764	2.89344782	4.09082967	1.487274444	1.227330547	3.42164481	3.142688083	3.248664904	1.410458515	1.425240957	2.660550615	2.914730495	3.441418094	1.625520152	4.3599568	2.381763212	4.401118243	2.720946178	1.724782669	4.084960839	4.031555289	2.080243624	4.017202936	2.699746214	2.226825726	3.865961178	4.621569753	3.030688396	4.326428037	3.220306927	2.694692953	3.370020958	4.172885282	2.561654603	2.454530476	3.393386847	3.577931916	4.663291406	3.714908936	2.578189366	3.775461438	3.899010783	4.092279925	2.929711539	1.708400878	4.662164959	3.571431658	8.980851789	6.568013832	3.131641374	4.170460714	3.066784817	4.673737855	1.679425543	2.007150217	3.435380859	4.052240348	2.590997766	1.580029294	1.84870653	2.626516386	2.466534719	3.049857087	1.373339894	1.524472825	3.415884593	2.510014246	4.387124273	1.918845121	2.848801196	3.56679645	3.638743293	2.87515827	2.067777566	1.819712042	2.355127531	4.277523837	3.519832087	4.868408959	2.848298265	4.73943278	2.850025487
Acids	Benzoic acid, 4-hydroxy-	A164003-101	0.916794566	2.691119315	1.829569646	1.763936539	1.458389022	2.283728015	2.433232813	2.81357213	1.887537928	3.46949509	3.102027866	2.564514396	1.40563156	1.176714259	1.4275239	1.979849883	1.922315823	3.052501923	2.291747479	1.012229023	1.338921868	2.992695863	5.214883446	0.894569914	1.77602615	3.158151522	2.61729584	3.43104532	3.24825816	0.891980178	5.073108783	7.098732186	6.206652321	6.350321666	5.095357203	4.079181882	6.017062152	4.561297596	3.990505307	2.723842641	2.297316937	3.177821573	2.987097944	2.64772642	2.495813514	3.536689011	3.402792642	2.265535349	3.856345311	1.303348496	2.46701941	3.166148219	1.293904325	3.869407722	2.19995278	12.96136812	14.55791527	8.09670952	8.296724061	1.950765944	2.708092117	2.082938606	1.230123062	1.255266861	1.513223844	1.601188262	1.462762845	0.947880993	1.978218077	1.112875527	1.512738662	1.698802665	3.001531879	2.014318286	1.665471662	1.810175937	2.950533868	5.382558866	3.195561616	4.393503439	2.389318606	2.619320474	3.008795776	1.394083084	2.919908527	4.307887798	8.240522346	3.719409422	5.464779692	3.039899974
Acids	Boric acid	A098003-101																																																		0.727508973																																								
Acids	Citric acid	A182004-101	9.981429186	21.94315877	22.80034145	25.27439246	13.86110404	17.28998918	23.17039288	18.58524889	28.2149693	12.52591594	18.22787612	20.07699293	18.19475452	19.29842536	12.24593907	19.38811497	17.46088747	21.75212406	15.78053979	13.91732792	9.794191137	18.76470937	10.38614125	10.24746725	10.83966664	15.08523177	19.72008363	21.30251934	20.6298284	12.55834993	21.69835625	18.6749407	21.54441218	15.53553667	14.14304906	13.58645952	22.64952261	21.70386009	10.9650714	13.27644987	9.883878505	17.33944847	24.90582663	26.01116436	18.69388468	17.02434024	17.98297395	18.14606629	18.05310425	8.843988301	20.68916501	18.99852367	16.98130658	22.09696117	17.04160096	10.62398673	18.60578761	10.88507531	11.94551496	11.25849509	18.02261079	16.47016267	17.93731306	17.00631991	13.44278398	25.14124139	15.86386018	16.73728206	17.13606077	26.3627856	17.87442617	15.31830921	24.86747786	16.8906082	15.19578092	9.347017048	19.73855167	10.72813517	10.51280097	11.02808256	14.47294608	18.90243258	24.3691131	18.0204259	14.76340759	17.44127154	16.51989305	14.21902087	15.38148424	19.1011491
Acids	Dihydroxymalonic acid	A145019-101	8.54737345	3.718083024	3.98347692	3.440008803	5.94922208	5.137536195	3.508013043	3.342327521	4.904205771	1.32366321	4.468808258	3.373053255	3.546404525	3.730483472	7.83332165	3.308640969	2.847751102	2.793836339	2.124959068	3.730706112	4.785724484	2.919416685	1.574081928	3.426671949	2.103981628	3.651265046	2.463758003	3.004849533	3.216042854	1.521660609	3.68840175	4.42355541	3.331133176	3.654332966	5.858563714	3.854164343	3.562176583	3.495681802	3.060292639	4.625882506	5.815195823	2.822714995	3.521606778	3.853049088	6.471384352	4.445952664	3.586219862	3.868337463	3.059139746	3.590660109	2.679176925	3.155524449	3.046592193	3.701642651	5.156315934	3.999629453	2.673244728	3.442233254	4.51267682	1.932860572	4.296167905	3.580754077	4.218885638	3.80660223	5.133858328	2.964243481	3.047781326	4.178321682	3.669493515	3.923703875	3.347573782	3.034923444	2.717451608	2.748197532	4.435100617	4.519097829	2.877187282		2.552858492	3.826903497	3.799012842	3.03112339	4.33361694	3.231538946	2.750679138	2.026489355	2.875106873	2.950240783	2.043630436	3.408988776
Acids	Fumaric acid	A137001-101	1.133806549	1.68676883	1.197448605	1.265069485	2.349795787	1.960155654	2.129825139	2.492457614	2.425395263	3.910650928	2.948747981	2.968104268	2.036644182	1.793522978	1.420900752	2.264390638	2.959102994	2.70131929	2.193598174	1.931991953	2.572428471	3.008119018	4.413345167	1.685509385	3.173538991	4.598479958	3.186799214	7.555699925	5.83712255	3.14237589	1.312891056	2.124559517	1.508549917	1.045854261	1.194284717	2.056727153	1.887171335	2.386525518	1.697733402	1.495938118	1.175896422	1.84665968	1.836831186	1.731647242	2.21914496	2.756687363	3.408483107	2.908056716	3.516454827	1.378720711	2.293812888	3.034673049	1.825437774	2.479650817	2.194869089	7.516301819	3.463763461	2.905223923	3.150334228	3.730727236	1.972648421	1.884944504	1.774522487	1.703677035	1.60692271	1.753834009	2.228346975	2.483012753	2.178273069	1.671357225	1.51107604	2.193958967	1.834065593	1.695805403	1.614735119	1.970860159	2.567214737	12.18061591	2.287341698	4.452159557	2.731674292	2.992693156	2.773597691	2.006129328	2.216352839	4.176492175	4.872575751	9.774032515	5.37606515	4.771131922
Acids	Fumaric acid, 2-methyl-	A140010-101						9.601575102					13.30513483						10.69454147				10.55702143	12.04644272	6.596562635	6.557779057												8.0371375			6.899648687	8.113701119						8.877150521	13.3187595	9.607173596	9.831652933			11.84291941				9.211342526	11.29933435	6.986510567																						9.413219582					8.713694035					
Acids	Glutaric acid, 2-oxo-	A158004-101	2.505561081	2.156106765	1.625863938	2.071523847	2.02272007	1.641354699	1.959538736	1.058464153	1.579117392	1.531490275	3.271299326	3.544490684	3.157338896	2.458529325	1.208322395	1.798206377	2.994854799	2.053768807	1.6601578	1.877585837	3.327925153	1.860947663	1.075715473	2.118606782	0.593545509	1.074464703	1.788792309	1.159026832	0.903920712	0.756909223	2.5630185	4.301936891	2.078509383	3.008522602	3.413144065	3.588832614	2.425277683	2.765297398	3.068539207	2.953660565	3.843607463	3.347690007	2.880064003	2.303600764	1.666300367	2.094027854	2.557029874	3.605287318	1.521130591	1.197253007	2.814489559	4.34366691	4.190928666	3.27931617	3.695392598	1.582578536	0.99269563	2.176340253	2.252776819	1.368833834	1.459163604	1.8733813	1.684927358	1.630026865	0.829523686	1.148916734	1.687461529	2.215574184	1.254310912	1.326864766	1.26269702	2.081204403	1.447953121	1.483018491	1.788127147	1.157590538	1.106884601	0.938214577	0.60986938	1.848662734	1.75945824	1.873786355	1.361205592	1.271199667	0.867937914	0.403016522	0.241811579	0.896159672	0.223883951	1.528193025
