Year	Cultivar	Stage	Treatment	Rep	Yield
2013	N22	FL	Control	1	249.61
2013	N22	FL	Control	2	197.22
2013	N22	FL	Control	3	297.44
2013	N22	FL	Stress	1	159.27
2013	N22	FL	Stress	2	104.53
2013	N22	FL	Stress	3	155.73
2013	N22	EGF	Control	1	379.24
2013	N22	EGF	Control	2	342.96
2013	N22	EGF	Control	3	249.64
2013	N22	EGF	Stress	1	221.67
2013	N22	EGF	Stress	2	185.94
2013	N22	EGF	Stress	3	257.18
2013	Dular	FL	Control	1	347.88
2013	Dular	FL	Control	2	349.04
2013	Dular	FL	Control	3	427.82
2013	Dular	FL	Stress	1	120.34
2013	Dular	FL	Stress	2	64.42
2013	Dular	FL	Stress	3	117.06
2013	Dular	EGF	Control	1	436.26
2013	Dular	EGF	Control	2	481.84
2013	Dular	EGF	Control	3	391.2
2013	Dular	EGF	Stress	1	111.27
2013	Dular	EGF	Stress	2	230.73
2013	Dular	EGF	Stress	3	260.19
2013	Anjali	FL	Control	1	217.97
2013	Anjali	FL	Control	2	285.24
2013	Anjali	FL	Control	3	322.72
2013	Anjali	FL	Stress	1	107.27
2013	Anjali	FL	Stress	2	66.02
2013	Anjali	FL	Stress	3	122.62
2013	Anjali	EGF	Control	1	420.44
2013	Anjali	EGF	Control	2	315.26
2013	Anjali	EGF	Control	3	272.6
2013	Anjali	EGF	Stress	1	88.87
2013	Anjali	EGF	Stress	2	96.32
2013	Anjali	EGF	Stress	3	309.94
2014	N22	FL	Control	1	278.3851163
2014	N22	FL	Control	2	264.4153779
2014	N22	FL	Control	3	406.5220116
2014	N22	FL	Stress	1	141.3043953
2014	N22	FL	Stress	2	161.3675349
2014	N22	FL	Stress	3	181.5497093
2014	N22	EGF	Control	1	346.1967733
2014	N22	EGF	Control	2	307.7732587
2014	N22	EGF	Control	3	333.4915291
2014	N22	EGF	Stress	1	83.75681395
2014	N22	EGF	Stress	2	53.88046512
2014	N22	EGF	Stress	3	84.03901163
2014	Dular	FL	Control	1	514.6977907
2014	Dular	FL	Control	2	322.164936
2014	Dular	FL	Control	3	213.313
2014	Dular	FL	Stress	1	113.5468721
2014	Dular	FL	Stress	2	95.89468605
2014	Dular	FL	Stress	3	136.8748488
2014	Dular	EGF	Control	1	388.2300349
2014	Dular	EGF	Control	2	446.5644215
2014	Dular	EGF	Control	3	439.7773605
2014	Dular	EGF	Stress	1	206.5999535
2014	Dular	EGF	Stress	2	218.22075
2014	Dular	EGF	Stress	3	282.7172035
2014	Anjali	FL	Control	1	219.9052035
2014	Anjali	FL	Control	2	226.8042558
2014	Anjali	FL	Control	3	132.3664535
2014	Anjali	FL	Stress	1	83.50112791
2014	Anjali	FL	Stress	2	54.0994186
2014	Anjali	FL	Stress	3	121.7365116
2014	Anjali	EGF	Control	1	432.6285087
2014	Anjali	EGF	Control	2	458.7133953
2014	Anjali	EGF	Control	3	427.9813953
2014	Anjali	EGF	Stress	1	290.7640058
2014	Anjali	EGF	Stress	2	129.6323721
2014	Anjali	EGF	Stress	3	159.4156395
2015	N22	FL	Control	1	403.680814
2015	N22	FL	Control	2	368.7383721
2015	N22	FL	Control	3	221.2953488
2015	N22	FL	Stress	1	190.4726744
2015	N22	FL	Stress	2	101.744186
2015	N22	FL	Stress	3	227.3715116
2015	N22	EGF	Control	1	409.7093023
2015	N22	EGF	Control	2	284.375
2015	N22	EGF	Control	3	139.7383721
2015	N22	EGF	Stress	1	236.1767442
2015	N22	EGF	Stress	2	134.3488372
2015	N22	EGF	Stress	3	218.4906977
2015	Dular	FL	Control	1	410.6145349
2015	Dular	FL	Control	2	447.6534884
2015	Dular	FL	Control	3	362.3034884
2015	Dular	FL	Stress	1	276.619186
2015	Dular	FL	Stress	2	243.627907
2015	Dular	FL	Stress	3	222.3023256
2015	Dular	EGF	Control	1	451.1726744
2015	Dular	EGF	Control	2	442.5790698
2015	Dular	EGF	Control	3	482.4465116
2015	Dular	EGF	Stress	1	278.7034884
2015	Dular	EGF	Stress	2	222.8075581
2015	Dular	EGF	Stress	3	310.8651163
2015	Anjali	FL	Control	1	438.0087209
2015	Anjali	FL	Control	2	324.972093
2015	Anjali	FL	Control	3	373.2133721
2015	Anjali	FL	Stress	1	305.072093
2015	Anjali	FL	Stress	2	309.0523256
2015	Anjali	FL	Stress	3	292.8645349
2015	Anjali	EGF	Control	1	405.6226744
2015	Anjali	EGF	Control	2	392.9069767
2015	Anjali	EGF	Control	3	315.8465116
2015	Anjali	EGF	Stress	1	270.4151163
2015	Anjali	EGF	Stress	2	284.8837209
2015	Anjali	EGF	Stress	3	297.9244186
